file,label
/tmp/tmpb7o9uijb/Fast Food Classification V2/Train/Taco/Taco-Train (52).jpeg,Food Taco
/tmp/tmpb7o9uijb/Fast Food Classification V2/Train/Taco/Taco-Train (836).jpeg,Tacos
/tmp/tmpb7o9uijb/Fast Food Classification V2/Train/Taco/Taco-Train (292).jpeg,Food Taco
/tmp/tmpb7o9uijb/Fast Food Classification V2/Train/Taco/Taco-Train (815).jpeg,Tacos
/tmp/tmpb7o9uijb/Fast Food Classification V2/Train/Taco/Taco-Train (514).jpeg,Food Taco
/tmp/tmpb7o9uijb/Fast Food Classification V2/Train/Taco/Taco-Train (631).jpeg,Appetizing Taco
/tmp/tmpb7o9uijb/Fast Food Classification V2/Train/Taco/Taco-Train (922).jpeg,Tacos
/tmp/tmpb7o9uijb/Fast Food Classification V2/Train/Taco/Taco-Train (268).jpeg,Picture of Taco
/tmp/tmpb7o9uijb/Fast Food Classification V2/Train/Taco/Taco-Train (458).jpeg,Image of Taco
/tmp/tmpb7o9uijb/Fast Food Classification V2/Train/Taco/Taco-Train (541).jpeg,Image of Taco
/tmp/tmpb7o9uijb/Fast Food Classification V2/Train/Taco/Taco-Train (131).jpeg,Food Taco
/tmp/tmpb7o9uijb/Fast Food Classification V2/Train/Taco/Taco-Train (950).jpeg,Tacos
/tmp/tmpb7o9uijb/Fast Food Classification V2/Train/Taco/Taco-Train (660).jpeg,Food Taco
/tmp/tmpb7o9uijb/Fast Food Classification V2/Train/Taco/Taco-Train (328).jpeg,Image of Taco
/tmp/tmpb7o9uijb/Fast Food Classification V2/Train/Taco/Taco-Train (112).jpeg,Picture of Taco
/tmp/tmpb7o9uijb/Fast Food Classification V2/Train/Taco/Taco-Train (182).jpeg,Food Taco
/tmp/tmpb7o9uijb/Fast Food Classification V2/Train/Taco/Taco-Train (302).jpeg,Taquitos
/tmp/tmpb7o9uijb/Fast Food Classification V2/Train/Taco/Taco-Train (308).jpeg,Image of Taco
/tmp/tmpb7o9uijb/Fast Food Classification V2/Train/Taco/Taco-Train (902).jpeg,Appetizing Sandwich
/tmp/tmpb7o9uijb/Fast Food Classification V2/Train/Taco/Taco-Train (872).jpeg,Image of Taco
/tmp/tmpb7o9uijb/Fast Food Classification V2/Train/Taco/Taco-Train (290).jpeg,Image of Taco
/tmp/tmpb7o9uijb/Fast Food Classification V2/Train/Taco/Taco-Train (1169).jpeg,Image of Taco
/tmp/tmpb7o9uijb/Fast Food Classification V2/Train/Taco/Taco-Train (1454).jpeg,Food Taco
/tmp/tmpb7o9uijb/Fast Food Classification V2/Train/Taco/Taco-Train (212).jpeg,Food Burger
/tmp/tmpb7o9uijb/Fast Food Classification V2/Train/Taco/Taco-Train (976).jpeg,Food Taco
/tmp/tmpb7o9uijb/Fast Food Classification V2/Train/Taco/Taco-Train (725).jpeg,Food Taco
/tmp/tmpb7o9uijb/Fast Food Classification V2/Train/Taco/Taco-Train (1070).jpeg,Food Taco
/tmp/tmpb7o9uijb/Fast Food Classification V2/Train/Taco/Taco-Train (1326).jpeg,Image of Taco
/tmp/tmpb7o9uijb/Fast Food Classification V2/Train/Taco/Taco-Train (69).jpeg,Food Taco
/tmp/tmpb7o9uijb/Fast Food Classification V2/Train/Taco/Taco-Train (649).jpeg,Food Taco
/tmp/tmpb7o9uijb/Fast Food Classification V2/Train/Taco/Taco-Train (317).jpeg,Food Taco
/tmp/tmpb7o9uijb/Fast Food Classification V2/Train/Taco/Taco-Train (502).jpeg,Food Taco
/tmp/tmpb7o9uijb/Fast Food Classification V2/Train/Taco/Taco-Train (944).jpeg,Food Taco
/tmp/tmpb7o9uijb/Fast Food Classification V2/Train/Taco/Taco-Train (311).jpeg,Food Taco
/tmp/tmpb7o9uijb/Fast Food Classification V2/Train/Taco/Taco-Train (346).jpeg,Picture of Taco
/tmp/tmpb7o9uijb/Fast Food Classification V2/Train/Taco/Taco-Train (1232).jpeg,Picture of Taco
/tmp/tmpb7o9uijb/Fast Food Classification V2/Train/Taco/Taco-Train (1186).jpeg,Food Hot Dog
/tmp/tmpb7o9uijb/Fast Food Classification V2/Train/Taco/Taco-Train (17).jpeg,Food Taco
/tmp/tmpb7o9uijb/Fast Food Classification V2/Train/Taco/Taco-Train (728).jpeg,Image of Taco
/tmp/tmpb7o9uijb/Fast Food Classification V2/Train/Taco/Taco-Train (1248).jpeg,Food Taco
/tmp/tmpb7o9uijb/Fast Food Classification V2/Train/Taco/Taco-Train (217).jpeg,Food Taco
/tmp/tmpb7o9uijb/Fast Food Classification V2/Train/Taco/Taco-Train (626).jpeg,Image of Taco
/tmp/tmpb7o9uijb/Fast Food Classification V2/Train/Taco/Taco-Train (681).jpeg,Food Taco
/tmp/tmpb7o9uijb/Fast Food Classification V2/Train/Taco/Taco-Train (880).jpeg,Food Taco
/tmp/tmpb7o9uijb/Fast Food Classification V2/Train/Taco/Taco-Train (1375).jpeg,Image of Taco
/tmp/tmpb7o9uijb/Fast Food Classification V2/Train/Taco/Taco-Train (163).jpeg,Food Taco
/tmp/tmpb7o9uijb/Fast Food Classification V2/Train/Taco/Taco-Train (321).jpeg,Food Taco
/tmp/tmpb7o9uijb/Fast Food Classification V2/Train/Taco/Taco-Train (1390).jpeg,Image of Taco
/tmp/tmpb7o9uijb/Fast Food Classification V2/Train/Taco/Taco-Train (793).jpeg,Food Taco
/tmp/tmpb7o9uijb/Fast Food Classification V2/Train/Taco/Taco-Train (1278).jpeg,Appetizing Taco
/tmp/tmpb7o9uijb/Fast Food Classification V2/Train/Taco/Taco-Train (1402).jpeg,Picture of Taco
/tmp/tmpb7o9uijb/Fast Food Classification V2/Train/Taco/Taco-Train (1091).jpeg,Image of Taco
/tmp/tmpb7o9uijb/Fast Food Classification V2/Train/Taco/Taco-Train (457).jpeg,Food Taco
/tmp/tmpb7o9uijb/Fast Food Classification V2/Train/Taco/Taco-Train (570).jpeg,Food Taco
/tmp/tmpb7o9uijb/Fast Food Classification V2/Train/Taco/Taco-Train (754).jpeg,Food Taco
/tmp/tmpb7o9uijb/Fast Food Classification V2/Train/Taco/Taco-Train (1200).jpeg,Image of Taco
/tmp/tmpb7o9uijb/Fast Food Classification V2/Train/Taco/Taco-Train (850).jpeg,Food Taco
/tmp/tmpb7o9uijb/Fast Food Classification V2/Train/Taco/Taco-Train (259).jpeg,Image of Fries
/tmp/tmpb7o9uijb/Fast Food Classification V2/Train/Taco/Taco-Train (844).jpeg,Food Taco
/tmp/tmpb7o9uijb/Fast Food Classification V2/Train/Taco/Taco-Train (145).jpeg,Food Taco
/tmp/tmpb7o9uijb/Fast Food Classification V2/Train/Taco/Taco-Train (903).jpeg,Picture of Sandwich
/tmp/tmpb7o9uijb/Fast Food Classification V2/Train/Taco/Taco-Train (271).jpeg,Food Crispy Chicken
/tmp/tmpb7o9uijb/Fast Food Classification V2/Train/Taco/Taco-Train (1295).jpeg,Food Taquito
/tmp/tmpb7o9uijb/Fast Food Classification V2/Train/Taco/Taco-Train (945).jpeg,Food Taco
/tmp/tmpb7o9uijb/Fast Food Classification V2/Train/Taco/Taco-Train (1424).jpeg,Image of Taco
/tmp/tmpb7o9uijb/Fast Food Classification V2/Train/Taco/Taco-Train (107).jpeg,Picture of Burger
/tmp/tmpb7o9uijb/Fast Food Classification V2/Train/Taco/Taco-Train (1183).jpeg,Image of Taco
/tmp/tmpb7o9uijb/Fast Food Classification V2/Train/Taco/Taco-Train (1358).jpeg,Image of Taco
/tmp/tmpb7o9uijb/Fast Food Classification V2/Train/Taco/Taco-Train (891).jpeg,Food Taquito
/tmp/tmpb7o9uijb/Fast Food Classification V2/Train/Taco/Taco-Train (1253).jpeg,Food Taco
/tmp/tmpb7o9uijb/Fast Food Classification V2/Train/Taco/Taco-Train (233).jpeg,Image of Burger
/tmp/tmpb7o9uijb/Fast Food Classification V2/Train/Taco/Taco-Train (1269).jpeg,Image of Taco
/tmp/tmpb7o9uijb/Fast Food Classification V2/Train/Taco/Taco-Train (1231).jpeg,Image of Burger
/tmp/tmpb7o9uijb/Fast Food Classification V2/Train/Taco/Taco-Train (566).jpeg,Image of Taco
/tmp/tmpb7o9uijb/Fast Food Classification V2/Train/Taco/Taco-Train (159).jpeg,Food Taco
/tmp/tmpb7o9uijb/Fast Food Classification V2/Train/Taco/Taco-Train (1258).jpeg,Burgers
/tmp/tmpb7o9uijb/Fast Food Classification V2/Train/Taco/Taco-Train (760).jpeg,Food Taco
/tmp/tmpb7o9uijb/Fast Food Classification V2/Train/Taco/Taco-Train (1346).jpeg,Food Taco
/tmp/tmpb7o9uijb/Fast Food Classification V2/Train/Taco/Taco-Train (446).jpeg,Food Taco
/tmp/tmpb7o9uijb/Fast Food Classification V2/Train/Taco/Taco-Train (1064).jpeg,Appetizing Taco
/tmp/tmpb7o9uijb/Fast Food Classification V2/Train/Taco/Taco-Train (1330).jpeg,Food Hot Dog
/tmp/tmpb7o9uijb/Fast Food Classification V2/Train/Taco/Taco-Train (59).jpeg,Food Hot Dog
/tmp/tmpb7o9uijb/Fast Food Classification V2/Train/Taco/Taco-Train (1381).jpeg,Picture of Taco
