category,fraction,average_dot_product,variance,second_best_category
Image of cheesecake,0.04247476228375152,0.29204947,0.00036689563,cheesecake
apple_pie,0.018221421689775058,0.29081908,0.00027817473,Image of apple_pie
Image of Crispy Chicken,0.04779457965065136,0.2988942,0.00030823154,Crispy Chicken
Image of apple_pie,0.018598416621287646,0.28748888,0.000310726,apple_pie
Image of Baked Potato,0.05319817366899845,0.30150992,0.0004366717,Baked Potato
Image of omelette,0.04461106689565618,0.29175463,0.0003154128,omelette
Image of Donut,0.05520881330373225,0.29633382,0.00031780076,Donut
Image of masala_dosa,0.026096426925815774,0.29745063,0.0005564559,masala_dosa
Image of samosa,0.01466091400326729,0.30461383,0.00038617814,samosa
Image of chicken_curry,0.03451598039626356,0.29125574,0.00023512238,chicken_curry
masala_dosa,0.006241360532819503,0.30335653,0.00044446343,Image of masala_dosa
Image of ice_cream,0.027059858417459053,0.28141677,0.00019940356,ice_cream
Image of Sandwich,0.05449671176643069,0.29209912,0.00023208372,Sandwich
Image of chai,0.013739370837347631,0.2946778,0.00043979505,chai
Image of pizza,0.015079797260503498,0.28400788,0.00020670361,pizza
pizza,0.00020944162861810415,0.27662483,0.000100630525,Image of pizza
Image of burger,0.015289238889121601,0.2807757,0.00017861667,burger
cheesecake,0.005613035646965191,0.29100618,0.00034737942,Image of cheesecake
Image of Fries,0.05688434633267708,0.30411807,0.00031127705,Fries
Image of jalebi,0.013404264231558665,0.3318788,0.00093758106,jalebi
Image of chapati,0.033008000670213214,0.30194464,0.00041120307,chapati
omelette,0.004314497549532945,0.28306517,0.00029168546,Image of omelette
kaathi_rolls,0.0017593096803920746,0.27828765,0.0009012165,Image of kaathi_rolls
ice_cream,0.010890964688141415,0.28062397,0.00021605859,Image of ice_cream
Image of pakode,0.009759979893603653,0.2930632,0.00023605282,pakode
Image of kulfi,0.005906253927030537,0.28649065,0.00051785866,kulfi
Baked Potato,0.0012566497717086248,0.29850593,0.00071709155,Image of Baked Potato
chai,0.0007121015373015541,0.26664233,0.000565585,Image of chai
burger,0.002680852846311733,0.2682058,0.00014273822,Image of burger
Image of idli,0.016545888660830226,0.3160371,0.0007042704,idli
Image of dhokla,0.004984710761110878,0.30958602,0.00049135066,dhokla
Donut,0.005361705692623466,0.28630224,0.00033055246,Image of Donut
chicken_curry,0.0068277970929501944,0.2897056,0.000241303,Image of chicken_curry
Image of fried_rice,0.022117035982071796,0.29712304,0.00040997882,fried_rice
dal_makhani,0.02081849788463955,0.3049537,0.00040964628,Image of dal_makhani
Image of pav_bhaji,0.003979390943743979,0.28612208,0.00040110035,pav_bhaji
pav_bhaji,0.015414903866292464,0.3100148,0.0004387109,Image of pav_bhaji
butter_naan,0.0020106396347337996,0.30852234,0.0013990402,Image of butter_naan
Image of sushi,0.040757340929083063,0.29889137,0.0001410301,sushi
fried_rice,0.0002932182800653458,0.27125275,0.0005207487,Image of fried_rice
Image of butter_naan,0.011561177899719348,0.3091585,0.0005364764,butter_naan
Image of Taquito,0.024546558874041804,0.28941682,0.00020038878,Taquito
Image of chole_bhature,0.007833116910317095,0.3113143,0.00068892003,chole_bhature
kadai_paneer,0.00963431491643279,0.30911392,0.0005063762,Image of kadai_paneer
chole_bhature,0.01110040631675952,0.31426078,0.0004981995,Image of chole_bhature
jalebi,0.00037699493151258746,0.32796124,0.0008302198,Image of jalebi
Crispy Chicken,0.005613035646965191,0.28537482,0.00028691362,Image of Crispy Chicken
idli,0.0008377665144724166,0.29753944,0.0010192037,Image of idli
pakode,0.00025132995434172495,0.29821977,0.00038921833,Image of pakode
Image of momos,0.010304528128010724,0.29701212,0.00025712766,momos
dhokla,0.0064508021614376075,0.31878498,0.0004835624,Image of dhokla
kulfi,0.003434842709336908,0.29840383,0.00059851207,Image of kulfi
Image of paani_puri,0.0011728731202613832,0.27255884,0.000603199,paani_puri
sushi,0.0004188832572362083,0.28827435,6.6322085e-05,Image of sushi
Image of Hot Dog,0.06052863067063209,0.2987853,0.000264014,Hot Dog
Image of Taco,0.05621413312109915,0.28574955,0.00021780728,Taco
paani_puri,0.0005026599086834499,0.31208447,0.000399222,Image of paani_puri
Taco,0.00037699493151258746,0.27377242,0.00054287247,Image of Taco
Sandwich,0.00557114732124157,0.28583446,0.00018806028,Image of Sandwich
Image of kadai_paneer,0.00020944162861810415,0.27280942,0.0006202638,kadai_paneer
Image of kaathi_rolls,0.0010053198173668998,0.27369586,0.0005896141,kaathi_rolls
Hot Dog,0.0008796548401960373,0.29421502,0.00053835486,Image of Hot Dog
Fries,0.003937502618020358,0.29889768,0.00027683948,Image of Fries
chapati,0.001968751309010179,0.28732857,0.00017281796,Image of chapati
Taquito,4.188832572362083e-05,0.27679706,0.0,Image of Taquito
momos,0.0020106396347337996,0.29661247,0.00073630613,Image of momos
samosa,0.0004188832572362083,0.3283713,0.00084568263,Image of samosa
