category,fraction,average_dot_product,variance,second_best_category
Picture of Banana,0.06524353577871317,0.3094298,0.00029613127,Image of Banana
Image of Banana,0.019242333132892364,0.30542153,0.0005157739,Picture of Banana
Image of Mango,0.02826217678893566,0.30723113,0.00038863244,Picture of Mango
Bananas,0.00661455201443175,0.30992654,0.00018551132,Image of Banana
Cool Mango,0.007817197835237523,0.30635318,0.0001553022,Image of Mango
Cool Banana,0.0024052916416115455,0.30005196,0.00040661544,Picture of Banana
Detailed Banana,0.001503307276007216,0.30825192,0.00017102956,Image of Banana
Pretty Banana,0.0018039687312086591,0.2900976,0.00023262699,Picture of Banana
Kiwis,0.0703547805171377,0.32820502,0.00047695942,Cool Kiwi
Image of strawberries,0.08177991581479255,0.31024367,0.00014371732,Picture of strawberries
Cool strawberries,0.006013229104028864,0.3052532,0.00022500753,Image of strawberries
Pretty strawberries,0.004509921828021648,0.31124666,0.00012090206,strawberries
Picture of strawberries,0.008117859290438966,0.31038767,0.00012471058,Image of strawberries
Detailed strawberries,0.0012026458208057728,0.30372533,0.00015175343,Image of strawberries
strawberries,0.0003006614552014432,0.26708233,0.0,strawberries
Pretty Kiwi,0.0036079374624173183,0.31102178,0.0006535053,Cool Kiwi
Kiwi,0.001503307276007216,0.32734546,0.00025782586,Cool Kiwi
Cool Kiwi,0.02254960914010824,0.32660526,0.00019334158,Kiwis
Image of Kiwi,0.001503307276007216,0.2887352,0.0010688842,Cool Kiwi
Image of Avocado,0.07306073361395068,0.3122034,0.00025087522,Picture of Avocado
Pretty Mango,0.0021046301864101023,0.28954056,0.00022571428,Image of Mango
Picture of Mango,0.00751653638003608,0.31532562,0.00015130042,Image of Mango
Picture of Pineapple,0.07847263980757667,0.33060488,0.00013432557,Image of Pineapple
Image of Pineapple,0.01593505712567649,0.31127182,0.00033422685,Picture of Pineapple
Cool Pineapple,0.005411906193625977,0.32489216,0.00023202764,Picture of Pineapple
Detailed Pineapple,0.0012026458208057728,0.3153153,0.00027630478,Image of Pineapple
Pretty Pineapple,0.0006013229104028864,0.30699635,0.00023029,Cool Pineapple
Pineapple,0.0006013229104028864,0.31556863,0.0,Image of Pineapple
Cherries,0.05111244738424534,0.31114095,0.00015621186,Image of Cherry
Image of Orange,0.023150932050511126,0.30978957,0.00020733128,Picture of Orange
Image of Cherry,0.04359591100420926,0.31008473,0.000249251,Cherries
Cool Cherry,0.003307276007215875,0.28755033,0.00033962185,Image of Cherry
Picture of Apple,0.021948286229705353,0.30496046,5.5652774e-05,Image of Apple
Apples,0.04509921828021648,0.29874298,6.8588255e-05,Picture of Apple
Picture of Orange,0.047805171377029464,0.31631938,0.00023677514,Image of Orange
Oranges,0.02164762477450391,0.3085786,0.0001991325,Picture of Orange
Mangoes,0.06313890559230306,0.3086859,0.00022752852,Image of Mango
Cool Orange,0.001503307276007216,0.28965616,5.8794023e-05,Image of Orange
Image of Apple,0.01803968731208659,0.3021845,8.881092e-05,Picture of Apple
Pretty Apple,0.006915213469633193,0.2981618,6.509864e-05,Picture of Apple
Detailed Apple,0.0009019843656043296,0.30702916,0.000100423895,Cool Apple
Cool Apple,0.004810583283223091,0.2970058,8.389354e-05,Picture of Apple
Picture of Avocado,0.019542994588093807,0.31005377,0.00035948388,Image of Avocado
Avocados,0.001503307276007216,0.32045507,0.00016413927,Image of Avocado
Watermelons,0.014431749849669273,0.3128566,0.0004004538,Picture of Watermelon
Picture of Watermelon,0.04990980156343957,0.32179752,0.0001322505,Image of Watermelon
Image of Watermelon,0.030366806975345762,0.31734774,0.00017967791,Picture of Watermelon
Detailed Watermelon,0.0012026458208057728,0.3123476,0.00097210705,Image of Watermelon
Cool Watermelon,0.003307276007215875,0.30326512,0.0003263842,Image of Watermelon
Pretty Watermelon,0.0003006614552014432,0.29991055,0.0,Cool Watermelon
Pineapples,0.0003006614552014432,0.30469564,0.0,Picture of Pineapple
Orange,0.0003006614552014432,0.24154343,0.0,Cool Orange
Detailed Orange,0.0003006614552014432,0.3196923,0.0,Cool Orange
Cool Avocado,0.005411906193625977,0.31208935,0.00038351616,Image of Avocado
Detailed Avocado,0.0003006614552014432,0.28975654,0.0,Image of Avocado
Avocado,0.0003006614552014432,0.32636365,0.0,Image of Avocado
Mango,0.0003006614552014432,0.32561624,0.0,Image of Mango
