category,fraction,average_dot_product,variance,second_best_category
Image of billiard_ball,0.07329043516195878,0.30268615,0.0007035675,billiard_ball
Image of bowling_ball,0.10535500054531574,0.2991513,0.0007671412,bowling_ball
table_tennis_ball,0.01603228269167848,0.2953507,0.0011320179,Image of table_tennis_ball
billiard_ball,0.002835641836623405,0.2937582,0.00081477716,Image of billiard_ball
basketball,0.0004362525902497546,0.26022947,0.0006521046,Image of basketball
Image of table_tennis_ball,0.03260988112116916,0.28929877,0.00074410834,table_tennis_ball
bowling_ball,0.02584796597229796,0.28940135,0.0006041225,Image of bowling_ball
Image of basketball,0.04438870105791253,0.29460555,0.00025856524,basketball
golf_ball,0.010579125313556549,0.28165674,0.00056699873,Image of golf_ball
cricket_ball,0.019086050823426765,0.30404443,0.00052247185,Image of cricket_ball
Image of golf_ball,0.11713382048205911,0.29652667,0.0006417003,golf_ball
hockey_puck,0.006870978296433635,0.28111222,0.0010477928,Image of hockey_puck
Image of hockey_puck,0.047333406042098375,0.29818392,0.0009681157,hockey_puck
Image of football,0.10895408441487621,0.28195167,0.00015746032,football
Image of tennis_ball,0.07405387719489584,0.30289155,0.0009677027,tennis_ball
tennis_ball,0.016795724724615553,0.29432303,0.00096518034,Image of tennis_ball
Image of american_football,0.006870978296433635,0.27591026,0.00048922736,american_football
Image of cricket_ball,0.05158686879703348,0.3148584,0.00042397174,cricket_ball
Image of baseball,0.051150616206783725,0.28819194,0.00027213676,baseball
Image of hockey_ball,0.025629839677173083,0.2927755,0.00043260292,hockey_ball
hockey_ball,0.009597556985494601,0.2885999,0.0008745356,Image of hockey_ball
Image of shuttlecock,0.00807067291962046,0.2539841,0.0002866951,shuttlecock
Image of volleyball,0.059003162831279314,0.30450165,0.00026512498,volleyball
Image of rugby_ball,0.05213218453484567,0.30566064,0.00057239615,rugby_ball
football,0.0014178209183117025,0.2673396,0.00022939994,Image of football
american_football,0.0008725051804995092,0.28510857,0.0016283393,Image of american_football
rugby_ball,0.020394808594176028,0.30366215,0.0005456037,Image of rugby_ball
shuttlecock,0.011124441051368743,0.25571415,0.0004964389,Image of shuttlecock
baseball,0.0004362525902497546,0.26521146,0.0004710853,Image of baseball
volleyball,0.00010906314756243865,0.261217,0.0,rugby_ball
