category,fraction,average_dot_product,variance,second_best_category
skateboard,0.048641304347826084,0.28805095,0.00029332677,scooter
scooter,0.05190217391304348,0.28352085,0.00020568409,motorcycle
kayak,0.06576086956521739,0.28953135,0.00024162639,jet ski
segway,0.058695652173913045,0.29842496,0.0004310696,scooter
unicycle,0.05,0.29954863,0.0005843225,bicycle
van,0.04701086956521739,0.27064526,0.00028376497,truck
helicopter,0.049728260869565215,0.27488935,0.00014646979,hovercraft
hovercraft,0.04375,0.28054976,0.00034729147,boat
airplane,0.04456521739130435,0.26539266,0.00016363074,helicopter
ambulance,0.052445652173913046,0.2961736,0.0004833004,fire truck
bicycle,0.03260869565217391,0.2769467,0.00033160846,unicycle
rickshaw,0.04809782608695652,0.30195493,0.0004390781,scooter
motorcycle,0.05625,0.2746226,0.0002256246,scooter
tractor,0.05652173913043478,0.2883577,0.00030041658,truck
truck,0.042119565217391304,0.27255103,0.00023195206,van
boat,0.04456521739130435,0.27051505,0.0002023534,kayak
jet ski,0.058152173913043476,0.2916916,0.00023842748,kayak
fire truck,0.05380434782608696,0.2964153,0.00019679406,ambulance
car,0.04673913043478261,0.2575743,0.00015455623,hovercraft
bus,0.048641304347826084,0.27266923,0.00015129856,van
