category,fraction,average_dot_product,variance,second_best_category
Image of dew,0.08714660448848732,0.29146826,0.00029047835,Picture of dew
Weather dew,0.009472457009618187,0.27783605,0.00019503373,Image of dew
Picture of dew,0.002477411833284757,0.27506858,0.0005202714,Image of dew
Image of frost,0.10769454969396677,0.29158226,0.00023611893,Weather frost
Image of rain,0.062372486155639756,0.26660648,0.0002829338,Picture of rain
Cool dew,0.003934712911687554,0.28151783,0.0003474377,Image of dew
Detailed dew,0.0052462838822500725,0.27468497,0.0003267924,Image of dew
Image of glaze,0.0002914602156805596,0.26602477,3.2633543e-06,Image of hail
Weather rime,0.008452346254736228,0.27400854,0.00023540136,Image of rime
Image of rime,0.10361410667443893,0.290664,0.00025115302,Picture of rime
Weather frost,0.06514135820460507,0.28919837,0.00023486417,Image of frost
Detailed rain,0.008889536578257067,0.2644059,0.00037986724,Image of rain
Picture of hail,0.00728650539201399,0.3038456,0.0004263401,Image of hail
Picture of rainbow,0.010201107548819586,0.3103662,0.00013421604,Image of rainbow
Cool frost,0.002914602156805596,0.28506672,0.00015577674,Image of frost
Detailed frost,0.0030603322646458758,0.28891018,0.00045816103,Image of frost
Picture of rime,0.003788982803847275,0.28028083,0.00045588383,Image of rime
Image of hail,0.0821917808219178,0.30744937,0.00051200815,Picture of hail
Image of fogsmog,0.12722238414456427,0.29783875,0.0002976338,Picture of fogsmog
Cool rime,0.003643252696006995,0.2897833,0.00023835181,Image of rime
Detailed snow,0.004371903235208394,0.27470848,0.00019779205,Image of snow
Picture of frost,0.005100553774409793,0.2967035,0.00015192032,Image of frost
Weather snow,0.032935004371903234,0.27061883,0.000109031134,Image of snow
Image of snow,0.05435733022442436,0.2714514,0.0002412208,Picture of snow
Picture of sandstorm,0.041241620518799184,0.32064864,0.00028578553,Image of sandstorm
Image of sandstorm,0.049256776450014576,0.30161563,0.00050209544,Picture of sandstorm
Detailed sandstorm,0.0005829204313611193,0.30575722,0.00047700852,Image of sandstorm
Weather sandstorm,0.006266394637132032,0.29876313,0.00033080854,Image of sandstorm
Cool sandstorm,0.0017487612940833576,0.2961361,0.00023943186,Picture of sandstorm
Picture of lightning,0.010055377440979306,0.30955273,8.858805e-05,Image of lightning
Detailed fogsmog,0.0020402215097639173,0.30019182,0.0005090662,Image of fogsmog
Picture of snow,0.0018944914019236375,0.28517792,0.00012235458,Image of snow
Weather fogsmog,0.0008743806470416788,0.2945399,0.00014692545,Image of fogsmog
Picture of fogsmog,0.0008743806470416788,0.30675364,0.00023237865,Image of fogsmog
Cool lightning,0.004809093558729233,0.30567878,6.918474e-05,Image of lightning
fogsmog,0.0001457301078402798,0.28712922,0.0,Image of fogsmog
Image of rainbow,0.02200524628388225,0.30558774,8.907066e-05,Picture of rainbow
Weather rainbow,0.0013115709705625181,0.29318303,7.872449e-05,Image of rainbow
Cool rainbow,0.0004371903235208394,0.2925572,3.151099e-05,Image of rainbow
Picture of rain,0.002185951617604197,0.28704467,0.00026634533,Image of rain
Weather rain,0.0065578548528125915,0.2670773,0.00017725097,Image of rain
Weather hail,0.0010201107548819587,0.28209114,0.00052309886,Image of hail
Cool rain,0.0008743806470416788,0.28083435,0.00011963149,Weather rain
Detailed hail,0.002331681725444477,0.30660322,0.00068531185,Image of hail
Cool snow,0.000728650539201399,0.26334578,8.012056e-05,snow
snow,0.0005829204313611193,0.24549699,0.00018173829,Image of snow
Image of lightning,0.03861847857767415,0.3055642,7.660344e-05,Picture of lightning
Weather lightning,0.0016030311862430778,0.2936643,4.995953e-05,Image of lightning
lightning,0.0001457301078402798,0.28394556,0.0,Picture of lightning
