category,fraction,average_dot_product,variance,second_best_category
Vegetable Bean,0.025952380952380952,0.28221676,5.6982477e-05,Fresh Bean
Vegetable Bitter Gourd,0.0074285714285714285,0.2990198,0.00020512556,Image of Bitter Gourd
Cucumbers,0.0029047619047619048,0.29702026,0.00010577186,Large Cucumbers
Fresh Capsicum,0.01633333333333333,0.30831176,5.886645e-05,Organic Capsicum
Picture of Cucumber,0.010571428571428572,0.31438258,0.00021793606,Image of Cucumber
Fresh Bean,0.002857142857142857,0.281325,8.190473e-05,Vegetable Bean
Large Cucumbers,0.06738095238095237,0.3201866,0.00017542754,Image of Cucumber
Vegetable Capsicum,0.008142857142857143,0.30498374,9.799979e-05,Organic Capsicum
Image of Cucumber,0.03209523809523809,0.30243996,0.00019766245,Picture of Cucumber
Papayas,0.028285714285714286,0.30147532,7.7552664e-05,Large Papayas
Large Cucumber,0.034523809523809526,0.33362564,0.00022221006,Image of Cucumber
Image of Capsicum,0.007380952380952381,0.30912971,0.00012663564,Fresh Capsicum
Vegetable Cucumber,0.004142857142857143,0.3070044,0.00013784431,Image of Cucumber
Large Capsicum,0.030238095238095238,0.32255605,9.60703e-05,Organic Capsicum
Organic Capsicum,0.009666666666666667,0.30470043,0.00014139748,Vegetable Capsicum
Vegetable Bottle Gourd,0.012619047619047618,0.30054072,0.00015153705,Image of Bottle Gourd
Image of Bitter Gourd,0.05185714285714286,0.31564572,0.00018543142,Picture of Bitter Gourd
Vegetable Brinjal,0.002285714285714286,0.29820436,0.00013210376,Organic Brinjal
Fresh Cucumber,0.0006666666666666666,0.28815588,0.0002351233,Image of Cucumber
Large Radish,0.028523809523809524,0.3222277,0.00021967944,Vegetable Radish
Large Papaya,0.021761904761904764,0.32127357,0.0001554343,Image of Bitter Gourd
Large Bottle Gourd,0.011476190476190477,0.30959833,0.00012608287,Image of Bottle Gourd
Image of Bottle Gourd,0.019428571428571427,0.30336723,0.00012941922,Picture of Bottle Gourd
Organic Bottle Gourd,0.0014285714285714286,0.29852572,0.00012463728,Vegetable Bottle Gourd
Vegetable Papaya,0.01138095238095238,0.29829404,0.00016724016,Vegetable Bitter Gourd
Large Papayas,0.011571428571428571,0.30748352,0.00010739236,Papayas
Image of Carrot,0.01019047619047619,0.32182878,0.00018519998,Organic Carrot
Large Carrots,0.05980952380952381,0.32481214,0.0001817448,Image of Carrot
Fresh Carrot,0.003619047619047619,0.31646645,9.769515e-05,Organic Carrot
Large Carrot,0.002857142857142857,0.34063134,9.483496e-05,Image of Carrot
Picture of Carrot,0.005904761904761905,0.34267458,0.00020542453,Image of Carrot
Organic Carrot,0.002285714285714286,0.3170712,0.000102708735,Large Carrots
Vegetable Carrot,0.004619047619047619,0.32201093,0.0002661538,Image of Carrot
Large Broccoli,0.0028095238095238095,0.33132857,0.00025821137,Large Broccolis
Image of Broccoli,0.022,0.31464136,0.00033539612,Picture of Broccoli
Large Broccolis,0.047523809523809524,0.3128507,0.0002841682,Broccolis
Vegetable Broccoli,0.01019047619047619,0.29797587,0.0001992912,Fresh Broccoli
Picture of Broccoli,0.003142857142857143,0.32721758,0.00047906963,Image of Broccoli
Fresh Broccoli,0.002857142857142857,0.29588783,0.00015426477,Vegetable Broccoli
Organic Broccoli,0.0033333333333333335,0.31015828,0.00013358252,Large Broccolis
Broccolis,0.028523809523809524,0.29060704,0.00015715406,Large Broccolis
Image of Cabbage,0.04038095238095238,0.3058387,0.00023224669,Picture of Cabbage
Cauliflowers,0.0006666666666666666,0.31016827,0.0002916966,Large Cauliflowers
Vegetable Cabbage,0.0015714285714285715,0.29011074,0.000114281975,Image of Cabbage
Organic Cabbage,0.0007142857142857143,0.2793925,8.8477136e-05,Image of Cabbage
Image of Cauliflower,0.003619047619047619,0.33202186,0.0003277628,Picture of Cauliflower
Large Cabbages,0.005190476190476191,0.31491566,0.00016803041,Image of Cabbage
Large Cauliflower,0.04642857142857143,0.34874243,0.00019266765,Fresh Cauliflower
Large Cabbage,0.017666666666666667,0.32671347,0.00020812207,Image of Cabbage
Picture of Cabbage,0.00680952380952381,0.3381057,0.00018165162,Image of Cabbage
Fresh Cabbage,0.00028571428571428574,0.28777832,3.5787623e-05,Image of Cabbage
Large Bitter Gourds,0.010904761904761905,0.3188067,0.00010494582,Large Bitter Gourd
Large Bitter Gourd,0.009523809523809525,0.32408684,9.2163085e-05,Image of Bitter Gourd
Vegetable Pumpkin,0.023666666666666666,0.32006434,9.333344e-05,Organic Pumpkin
Large Pumpkins,0.003761904761904762,0.32002535,0.00014882148,Large Bitter Gourds
Picture of Bitter Gourd,0.004666666666666667,0.3202789,0.000116815376,Image of Bitter Gourd
Fresh Bitter Gourd,0.0005238095238095238,0.31043857,4.4735996e-05,Organic Bitter Gourd
Large Pumpkin,0.00014285714285714287,0.3167799,6.193916e-05,Vegetable Pumpkin
Bottle Gourds,0.0003333333333333333,0.2981394,3.4485543e-05,Large Bottle Gourds
Image of Papaya,0.0025238095238095237,0.3073876,0.00028684904,Picture of Papaya
Bitter Gourds,0.0005714285714285715,0.30343404,6.748239e-05,Large Bitter Gourds
Organic Pumpkin,0.0005714285714285715,0.3114693,5.56012e-05,Vegetable Pumpkin
Large Bottle Gourds,0.0005238095238095238,0.30739164,7.379055e-05,Bottle Gourds
Image of Pumpkin,9.523809523809524e-05,0.309263,8.504093e-05,Image of Bitter Gourd
Large Cauliflowers,0.0025714285714285713,0.3223334,0.00034536255,Large Cauliflower
Image of Radish,0.0010952380952380953,0.30754972,0.0001513647,Picture of Radish
Tomatoes,0.010904761904761905,0.31608784,0.00017970722,Large Tomatoes
Organic Tomato,0.0017619047619047618,0.3097623,0.00026239577,Image of Tomato
Vegetable Tomato,0.005571428571428572,0.30745563,0.00012775975,Image of Tomato
Image of Tomato,0.005857142857142857,0.3169263,0.00017573194,Picture of Tomato
Large Capsicums,0.0037142857142857142,0.3122942,8.474252e-05,Capsicums
Large Tomatoes,0.007571428571428572,0.30753136,0.00021059408,Tomatoes
