category,fraction,average_dot_product,variance,second_best_category
Zebra,0.07047325102880658,0.318306,0.00019162589,Giraffe
Panda,0.06893004115226338,0.30878922,0.00018629387,Bear
Bear,0.05761316872427984,0.2897644,0.00024282081,Lion
Dog,0.061213991769547324,0.26500142,8.49812e-05,Bear
Kangaroo,0.07767489711934156,0.30238083,0.00049787486,Deer
Deer,0.06430041152263374,0.294116,0.00018950654,Kangaroo
Horse,0.07458847736625514,0.2828374,0.00010191819,Zebra
Tiger,0.06635802469135803,0.2959631,0.00018638789,Zebra
Lion,0.06430041152263374,0.29579946,0.00020215606,Tiger
Giraffe,0.06790123456790123,0.3090725,0.0001321706,Zebra
Elephant,0.06893004115226338,0.30263147,0.00027919884,Giraffe
Cow,0.056584362139917695,0.2981744,0.00023762963,Horse
Bird,0.07510288065843622,0.27151826,0.00014933494,Dolphin
Cat,0.05864197530864197,0.27315232,5.301258e-05,Tiger
Dolphin,0.06738683127572016,0.30139068,0.00020432654,Elephant
