category,fraction,average_dot_product,variance,second_best_category
Apparel blue shorts,0.010540184453227932,0.3169991,0.00055464107,Medium blue shorts
Apparel green shorts,0.00720245937637242,0.33978745,0.00050335395,Medium green shorts
Apparel blue pants,0.040755379885814666,0.29792732,0.0002561191,Medium blue pants
Medium blue shorts,0.009486166007905139,0.32288113,0.00045828466,Apparel blue shorts
Medium black shorts,0.007553798858146684,0.3145704,0.00034247997,Apparel black shorts
Large white shorts,0.000878348704435661,0.30177552,0.0003370881,Medium white shorts
Apparel white shorts,0.007290294246815986,0.3176463,0.00027337132,Medium white shorts
Small black shortss,8.78348704435661e-05,0.290072,0.0,Small black shirt
Large blue shorts,0.0014931927975406236,0.32598263,0.00059330463,Medium blue shorts
Medium blue pants,0.02362758014931928,0.29243395,0.00013001169,Apparel blue pants
Small blue shorts,0.0004391743522178305,0.32361874,0.00053598883,Large blue shorts
Apparel brown shorts,0.0015810276679841897,0.32113135,0.0004124575,Medium brown shorts
Large blue pants,0.000878348704435661,0.3021998,0.00034269094,Apparel blue pants
blue shorts,8.78348704435661e-05,0.27842408,0.0,Large blue shorts
Large blue pantss,0.00202020202020202,0.286006,0.000115477524,Medium blue pantss
Small white shorts,0.0004391743522178305,0.2894929,0.00032793282,Large white shorts
Small red pants,0.0001756697408871322,0.27293575,0.00015222281,Medium red pants
Small brown pants,8.78348704435661e-05,0.27339447,0.0,Medium brown shorts
Apparel black shorts,0.016776460254721123,0.31769407,0.00029549922,Medium black shorts
Apparel white pants,0.02231005709266579,0.3140907,0.00019005903,Medium white pants
Large green shoes,0.0044795783926218705,0.3167491,0.00019399793,Medium green shoes
Large black shorts,0.0003513394817742644,0.2998322,0.00019095093,Medium black shorts
Small blue dresss,0.0003513394817742644,0.29699394,0.000115156174,Large blue dresss
Large blue shirts,0.0015810276679841897,0.31868875,0.00030610958,Medium blue shirts
Apparel blue shirt,0.0461133069828722,0.30558884,0.00024097261,Medium blue shirt
Small green shorts,8.78348704435661e-05,0.28423095,0.0,Apparel brown shorts
Medium white shorts,0.0033377250768555117,0.31559005,0.00046460252,Apparel white shorts
Large blue shirt,0.011594202898550725,0.30683073,0.00027641383,Apparel blue shirt
Medium brown shorts,0.0021958717610891525,0.334289,0.000388155,Apparel brown shorts
Medium blue pantss,0.0003513394817742644,0.29987162,0.00012796372,Medium blue pants
blue pants,0.0007026789635485288,0.28827718,0.0004131049,Apparel blue pants
Small green pants,0.00026350461133069827,0.28231853,0.00014241536,Medium green pants
blue shortss,8.78348704435661e-05,0.26118147,0.0,blue shorts
Apparel red pants,0.013614404918752744,0.318748,0.00024522352,Medium red pants
Medium blue dresss,0.012736056214317084,0.31025627,7.2906754e-05,Large blue dresss
Medium brown pants,0.006411945542380325,0.31681994,0.00016339838,Apparel brown pants
Apparel brown pants,0.019762845849802372,0.31571347,0.00017979092,Medium brown pants
brown pants,0.00026350461133069827,0.3088523,0.00017496943,Large brown pants
Large brown pants,0.002108036890645586,0.30717066,0.0002447466,Medium brown pants
Apparel green pants,0.01870882740447958,0.32410693,0.0004025222,Medium green pants
