category,fraction,average_dot_product,variance,second_best_category
Small Land Rover Car,0.005220796171416141,0.29798675,0.00023351113,Land Rover Car
Vehicle Honda Car,0.007178594735697194,0.25216392,0.00042834427,Honda Car
Small Suzuki Car,0.001740265390472047,0.2857394,0.00064406544,Small Suzuki Cars
Small Jeep Car,0.0013051990428540352,0.3039837,5.5660803e-05,Jeep Car
Small Hyundai Car,0.021753317380900587,0.28812551,0.00017188072,Small Hyundai Cars
Small Citroen Car,0.0010876658690450293,0.28989854,6.3335894e-05,Small Citroen Cars
Large Renault Cars,0.0008701326952360235,0.29910612,6.2555075e-05,Small Renault Cars
Vehicle Jeep Car,0.011964324559495323,0.2899751,0.00023677999,Jeep Car
Vehicle Chevrolet Car,0.006090928866652165,0.28020057,0.00020202568,Chevrolet Cars
Suzuki Car,0.00021753317380900588,0.31568062,0.0,Vehicle Suzuki Car
Vehicle Mitsubishi Car,0.0026103980857080703,0.2795447,6.366769e-05,Medium Mitsubishi Cars
Vehicle Hyundai Car,0.03458777463563193,0.28093097,0.000110362314,Hyundai Car
BMW Car,0.00891886012616924,0.28459334,0.00057179754,Vehicle BMW Car
Small Fiat Car,0.015444855340439417,0.29991585,0.00017455599,Small Fiat Cars
Vehicle GMC Car,0.0013051990428540352,0.27937448,0.00019751489,GMC Car
Vehicle Land Rover Car,0.007831194257124212,0.29171002,0.00013603104,Land Rover Car
Small Peugeot Car,0.0013051990428540352,0.28919515,0.00012084842,Vehicle Peugeot Car
Medium Land Rover Car,0.001740265390472047,0.3034507,0.00015376508,Land Rover Car
Small Suzuki Cars,0.00021753317380900588,0.24607432,0.0,Large Suzuki Cars
Vehicle Peugeot Car,0.006743528388079182,0.27581388,0.00015487209,Vehicle Hyundai Car
Vehicle Lexus Car,0.007613661083315205,0.2827504,0.000109277455,Lexus Car
Hyundai Car,0.03154231020230585,0.2874,0.00012771343,Hyundai Cars
Land Rover Car,0.009571459647596259,0.2981468,0.00013814731,Vehicle Land Rover Car
Suzuki Cars,0.0010876658690450293,0.25710464,0.00051670073,Large Suzuki Cars
Large Land Rover Car,0.0026103980857080703,0.302843,0.00023176272,Land Rover Car
Jeep Car,0.004350663476180117,0.30450073,0.00014932752,Vehicle Jeep Car
Small Kia Car,0.010876658690450293,0.28994775,0.00012143135,Kia Car
Vehicle Saab Car,0.0023928649118990647,0.28156215,0.00010440024,Large Saab Car
Vehicle Volkswagen Car,0.00891886012616924,0.28467035,0.00039354185,Volkswagen Cars
Medium Kia Car,0.0021753317380900587,0.28337705,0.00011413098,Medium Kia Cars
Medium Hyundai Car,0.0015227322166630412,0.2870396,0.00021669695,Hyundai Car
Vehicle Fiat Car,0.001957798564281053,0.27688122,0.00017397272,Small Fiat Car
Small Mitsubishi Cars,0.00043506634761801175,0.28083694,3.7401915e-06,Small Mitsubishi Car
Medium Mini Car,0.0015227322166630412,0.28445148,4.0028775e-05,Mini Car
Honda Car,0.001957798564281053,0.27904215,0.0004841288,Vehicle Honda Car
Vehicle Porsche Car,0.01218185773330433,0.2905158,9.5094954e-05,Porsche Car
Large Porsche Cars,0.0006525995214270176,0.29787526,3.3388536e-05,Porsche Cars
Vehicle Audi Car,0.020665651511855558,0.28752294,0.00027767985,Audi Car
Porsche Cars,0.00043506634761801175,0.29611188,1.5199184e-06,Large Porsche Cars
Aston Martin Car,0.0036980639547531,0.3156058,0.0002094367,Vehicle Aston Martin Car
Volvo Cars,0.015009788992821405,0.27439654,0.0013004248,Medium Volvo Cars
Large Porsche Car,0.0028279312595170763,0.2984035,9.858608e-05,Vehicle Porsche Car
Small Porsche Car,0.0013051990428540352,0.29953548,0.00024630627,Vehicle Porsche Car
Small Volkswagen Cars,0.0015227322166630412,0.31006697,0.00013124943,Volkswagen Cars
Small Aston Martin Cars,0.00043506634761801175,0.29721236,0.0005812645,Medium Aston Martin Cars
BMW Cars,0.004785729823798129,0.29424068,0.0009927804,Large BMW Cars
Aston Martin Cars,0.0008701326952360235,0.29678962,8.91909e-05,Large Aston Martin Cars
Mazda Cars,0.0006525995214270176,0.30398586,0.00017320116,Medium Mazda Cars
Medium Porsche Cars,0.00021753317380900588,0.28141034,0.0,Porsche Cars
Small Porsche Cars,0.00021753317380900588,0.32208312,0.0,Large Porsche Cars
Jaguar Cars,0.033717641940395914,0.29057148,0.000524687,Jaguar Car
Studebaker Car,0.015009788992821405,0.3090892,0.0004029205,Medium Studebaker Car
Porsche Car,0.00043506634761801175,0.27406606,8.818507e-05,Vehicle Porsche Car
Vehicle Ferrari Car,0.01631498803567544,0.29335713,0.00012818654,Large Ferrari Car
Large Maserati Cars,0.00043506634761801175,0.282825,3.9711595e-06,Small Maserati Cars
Lincoln Car,0.006961061561888188,0.26477906,0.0005213618,Large Lincoln Car
Small Chevrolet Car,0.0008701326952360235,0.2892268,1.257658e-05,Small Chevrolet Cars
Small Saab Car,0.003262997607135088,0.3088612,0.00045646826,Large Saab Car
Medium Hyundai Cars,0.0028279312595170763,0.24625508,0.0018389637,Hyundai Cars
Vehicle Alfa Romeo Car,0.010441592342832281,0.29421934,0.00015156467,Alfa Romeo Car
Small Renault Car,0.0026103980857080703,0.28645518,0.00025997558,Medium Renault Car
Medium Daewoo Ferrari Car,0.0023928649118990647,0.2911432,0.000103284015,Daewoo Ferrari Car
Small Aston Martin Car,0.0021753317380900587,0.2938235,0.00014796853,Vehicle Aston Martin Car
Large Hyundai Car,0.0023928649118990647,0.25503886,0.00084600126,Large Hyundai Cars
Kia Car,0.011529258211877311,0.2816073,0.00058734644,Large Kia Car
Daewoo Ferrari Car,0.0015227322166630412,0.30285937,0.000334629,Daewoo Ferrari Cars
Medium Saab Car,0.0008701326952360235,0.2933876,7.5921416e-06,Saab Car
Daewoo Ferrari Cars,0.00043506634761801175,0.25211608,0.0045638233,Medium Daewoo Ferrari Cars
Small Hyundai Cars,0.0028279312595170763,0.29285783,0.00019218371,Small Hyundai Car
Vehicle BMW Car,0.007831194257124212,0.29030293,0.0001545747,BMW Car
Vehicle Daewoo Ferrari Car,0.0026103980857080703,0.27448472,0.0007256816,Medium Daewoo Ferrari Car
Small Daewoo Ferrari Car,0.0026103980857080703,0.28434333,0.000468115,Small Daewoo Ferrari Cars
Citroen Car,0.0030454644333260824,0.28734708,0.00010790144,Citroen Cars
Small BMW Car,0.0015227322166630412,0.24577461,0.0006877993,BMW Car
Vehicle Volvo Car,0.013922123123776376,0.28019664,9.9524856e-05,Volvo Car
Jaguar Car,0.004133130302371111,0.2856609,0.00021133925,Jaguar Cars
Medium Renault Car,0.005220796171416141,0.28642187,0.0001329432,Renault Car
Vehicle Bugatti Car,0.016532521209484445,0.30828863,0.00040729422,Large Bugatti Car
Medium Volkswagen Car,0.0015227322166630412,0.27798232,0.00010041679,Medium Volkswagen Cars
Ram Trucks Car,0.005873395692843159,0.312225,0.0005845494,Ram Trucks Cars
MG Car,0.004785729823798129,0.292899,0.00014755943,MG Cars
Large Saab Car,0.005873395692843159,0.29482388,8.494766e-05,Vehicle Saab Car
Medium Volvo Cars,0.0008701326952360235,0.26416418,0.0005635917,Large Volvo Cars
Small Peugeot Cars,0.00021753317380900588,0.28274354,0.0,Large Peugeot Cars
Nissan Cars,0.003262997607135088,0.2745667,0.00031707287,Medium Nissan Cars
Small Dodge Car,0.00021753317380900588,0.2272411,0.0,Large Volvo Car
Medium Volvo Car,0.0010876658690450293,0.28703755,0.00012622475,Volvo Car
Hudson Car,0.003480530780944094,0.22319718,0.0016147718,Hudson Cars
Medium Suzuki Car,0.0006525995214270176,0.29211918,1.1026859e-06,Suzuki Car
Buick Cars,0.020883184685664562,0.2984273,0.0001192987,Large Buick Cars
Medium Buick Car,0.0010876658690450293,0.28827515,7.236004e-05,Medium Buick Cars
Oldsmobile Car,0.0030454644333260824,0.29522493,0.00012646403,Vehicle Oldsmobile Car
Medium Cadillac Car,0.0006525995214270176,0.29011202,2.0285448e-05,Cadillac Car
Large Cadillac Car,0.006525995214270176,0.30059722,6.653468e-05,Cadillac Car
Vehicle Buick Car,0.006961061561888188,0.2810623,0.0006481409,Buick Car
Oldsmobile Cars,0.0006525995214270176,0.3047095,0.0003057023,Medium Oldsmobile Cars
Large Hudson Car,0.0036980639547531,0.2886816,0.0010562013,Hudson Car
Buick Car,0.005220796171416141,0.30101326,0.0001449585,Vehicle Buick Car
Small Buick Cars,0.0006525995214270176,0.28007713,0.0014455268,Buick Cars
Medium Ford Car,0.0008701326952360235,0.2654926,0.0013191327,Ford Car
Medium Chrysler Car,0.0010876658690450293,0.290566,3.644228e-05,Chrysler Car
Medium Buick Cars,0.001740265390472047,0.29138803,4.2125583e-05,Medium Buick Car
Large Buick Cars,0.0026103980857080703,0.29546794,0.0001548628,Buick Cars
Small Oldsmobile Car,0.00043506634761801175,0.30055183,0.00037300587,Small Oldsmobile Cars
Small Chrysler Car,0.0010876658690450293,0.28412685,5.3310396e-05,Vehicle Chrysler Car
Medium Lincoln Car,0.0008701326952360235,0.27006948,0.0011366233,Medium Lincoln Cars
Small Studebaker Car,0.001957798564281053,0.29358184,9.534094e-05,Studebaker Car
Vehicle Lincoln Car,0.00021753317380900588,0.29029745,0.0,Large Lincoln Car
Dodge Car,0.011746791385686317,0.28973183,0.000112083224,Dodge Cars
Medium Aston Martin Car,0.0028279312595170763,0.3023464,0.00020494827,Vehicle Aston Martin Car
Vehicle Renault Car,0.008701326952360235,0.27500796,0.0003228903,Renault Car
Large Pontiac Car,0.0010876658690450293,0.28136158,7.5441596e-05,Medium Pontiac Car
Medium Cadillac Cars,0.001740265390472047,0.2541132,0.0012896657,Cadillac Cars
Vehicle Ram Trucks Car,0.018707852947574505,0.30064183,0.0006729004,Ram Trucks Cars
Ram Trucks Cars,0.01000652599521427,0.31255072,0.0012942189,Ram Trucks Car
Large Ram Trucks Cars,0.003480530780944094,0.31471372,0.00047709048,Ram Trucks Cars
Large GMC Car,0.005220796171416141,0.29303744,0.00024032593,GMC Car
Large Ram Trucks Car,0.0013051990428540352,0.31921613,0.00020972888,Large Ram Trucks Cars
Medium Ram Trucks Cars,0.0008701326952360235,0.2951082,0.00038071722,Vehicle Ram Trucks Car
Large Jeep Car,0.004568196649989123,0.30988976,0.000110296976,Jeep Car
Large Volvo Cars,0.003915597128562106,0.27169627,0.001070506,Volvo Cars
Small Ram Trucks Car,0.0015227322166630412,0.3026077,0.0004968899,Small Ram Trucks Cars
Large Dodge Car,0.00021753317380900588,0.31467444,0.0,Large Ram Trucks Car
Bentley Cars,0.0021753317380900587,0.29075104,0.0020504831,Medium Bentley Cars
Small Audi Car,0.0028279312595170763,0.29277444,0.00013757669,Vehicle Audi Car
Large Land Rover Cars,0.0010876658690450293,0.2868686,0.000668329,Small Land Rover Cars
Medium Land Rover Cars,0.0008701326952360235,0.2970584,0.00027175993,Land Rover Cars
Land Rover Cars,0.0006525995214270176,0.30500877,8.880099e-05,Large Land Rover Cars
Vehicle Bentley Car,0.004785729823798129,0.2942801,0.00019127672,Bentley Car
Small Ford Car,0.0021753317380900587,0.28925666,0.00021182894,Ford Car
Small Land Rover Cars,0.0010876658690450293,0.306367,0.00010144115,Land Rover Cars
Medium Citroen Car,0.00043506634761801175,0.2887813,2.2351742e-08,Citroen Car
Vehicle Maserati Car,0.015444855340439417,0.29752913,0.00020090964,Maserati Car
Medium Ferrari Car,0.00043506634761801175,0.29638314,7.092208e-05,Vehicle Ferrari Car
Large Aston Martin Car,0.003262997607135088,0.3149103,0.0003134966,Aston Martin Car
Large Ferrari Cars,0.0008701326952360235,0.2919646,0.00014601648,Medium Ferrari Cars
Small Ferrari Cars,0.0006525995214270176,0.2931235,3.7501257e-05,Small Daewoo Ferrari Cars
Vehicle Aston Martin Car,0.010659125516641287,0.29985237,0.00028298824,Aston Martin Car
Large Ferrari Car,0.0013051990428540352,0.28434053,5.2963693e-05,Vehicle Ferrari Car
Small Ferrari Car,0.0010876658690450293,0.29938176,0.00015066862,Small Ferrari Cars
Ferrari Car,0.00043506634761801175,0.28694713,0.0001148656,Vehicle Ferrari Car
Large Daewoo Ferrari Car,0.00021753317380900588,0.29541487,0.0,Medium Ferrari Car
Small Daewoo Ferrari Cars,0.0008701326952360235,0.295465,0.00010947883,Daewoo Ferrari Cars
MG Cars,0.008701326952360235,0.28097898,0.0007303894,MG Car
Hyundai Cars,0.007613661083315205,0.2614083,0.002133533,Medium Hyundai Cars
Vehicle Mercedes-Benz Car,0.008701326952360235,0.29170576,0.0006610394,Mercedes-Benz Car
Small Nissan Car,0.0008701326952360235,0.28716904,1.98856e-05,Small Nissan Cars
Small Bentley Car,0.001957798564281053,0.28355896,0.0014695724,Vehicle Bentley Car
Small Audi Cars,0.0008701326952360235,0.29042536,0.0015522465,Audi Cars
Small Studebaker Cars,0.00021753317380900588,0.3026419,0.0,Small Jaguar Cars
Large BMW Car,0.0008701326952360235,0.2777875,0.0015343055,BMW Car
Genesis Car,0.0028279312595170763,0.2481278,0.0019419835,Genesis Cars
Volkswagen Cars,0.0028279312595170763,0.30227116,0.0003127318,Vehicle Volkswagen Car
Renault Cars,0.0006525995214270176,0.26640558,0.00062108535,Medium Renault Cars
Alfa Romeo Car,0.001957798564281053,0.29467118,0.00013721651,Vehicle Alfa Romeo Car
Volvo Car,0.004785729823798129,0.28668183,0.00015650013,Vehicle Volvo Car
Mitsubishi Cars,0.0028279312595170763,0.2764415,0.0007019318,Medium Mitsubishi Cars
Medium MG Cars,0.00021753317380900588,0.255023,0.0,MG Cars
Vehicle Mazda Car,0.001740265390472047,0.28428322,0.00010933727,Mazda Car
Vehicle MG Car,0.0006525995214270176,0.28592288,0.00013650458,MG Cars
Medium Mercedes-Benz Cars,0.0006525995214270176,0.25958025,0.00076313317,Mercedes-Benz Cars
Medium MG Car,0.00043506634761801175,0.2360485,2.8252602e-05,Medium MG Cars
Small Genesis Cars,0.001957798564281053,0.23768146,0.0013882981,Genesis Cars
Small Bugatti Car,0.0006525995214270176,0.30439726,0.00024312735,Vehicle Bugatti Car
Vehicle Infiniti Car,0.0028279312595170763,0.27605686,0.0009234181,Infiniti Car
Small Jeep Cars,0.00043506634761801175,0.2557187,0.00028898567,Small Ram Trucks Cars
Small Hudson Car,0.0010876658690450293,0.25420368,0.0010771096,Large Hudson Car
Saab Cars,0.00021753317380900588,0.25334713,0.0,Large Hyundai Cars
Large Hyundai Cars,0.001740265390472047,0.23637076,0.0014265142,Hyundai Cars
Medium Kia Cars,0.001740265390472047,0.26660478,0.0011889413,Kia Cars
Large Kia Cars,0.00043506634761801175,0.28976196,8.499622e-05,Kia Cars
Large Kia Car,0.0010876658690450293,0.28492904,0.00011710524,Kia Car
Vehicle Mini Car,0.0006525995214270176,0.28750935,6.944438e-05,Medium Mini Car
Kia Cars,0.0023928649118990647,0.2853686,0.00017267466,Medium Kia Cars
Small Fiat Cars,0.003915597128562106,0.29903185,0.0002715058,Large Fiat Cars
Small Volkswagen Car,0.0008701326952360235,0.29086256,4.813075e-06,Small Volkswagen Cars
Large Fiat Car,0.0021753317380900587,0.29813027,0.00018668771,Fiat Car
Fiat Car,0.003915597128562106,0.2827047,0.0011012951,Fiat Cars
Medium Fiat Car,0.00043506634761801175,0.2833997,0.0003271848,Fiat Car
Large Fiat Cars,0.0008701326952360235,0.27679938,0.0003773272,Fiat Cars
Medium Mini Cars,0.00043506634761801175,0.31342757,0.00014456362,Small Fiat Cars
Toyota Cars,0.00043506634761801175,0.29353487,0.00024256855,Medium Toyota Cars
Small Nissan Cars,0.0006525995214270176,0.28600162,5.3738553e-05,Nissan Cars
Vehicle Nissan Car,0.0026103980857080703,0.27458102,8.313855e-05,Nissan Car
Nissan Car,0.001957798564281053,0.2862953,0.00015431643,Nissan Cars
Small Lexus Car,0.0015227322166630412,0.29405123,3.2935823e-05,Lexus Car
Small Alfa Romeo Car,0.0030454644333260824,0.29665095,0.00010302237,Alfa Romeo Car
Small Genesis Car,0.0013051990428540352,0.24477316,0.0011126747,Small Genesis Cars
Small Maserati Car,0.00043506634761801175,0.275966,0.0,Infiniti Car
Vehicle Acura Car,0.00891886012616924,0.28258362,9.430327e-05,Acura Car
Large Mini Car,0.007831194257124212,0.30069026,0.000109785135,Mini Car
Medium Honda Car,0.0008701326952360235,0.26594934,0.0013433099,Honda Car
Large Cadillac Cars,0.0008701326952360235,0.30850828,0.00034257025,Cadillac Cars
Large Buick Car,0.0021753317380900587,0.2995126,0.001197648,Buick Car
Bentley Car,0.006090928866652165,0.31481513,0.00017877987,Large Bentley Car
Infiniti Car,0.004133130302371111,0.29329556,0.00010247607,Vehicle Infiniti Car
Cadillac Car,0.003480530780944094,0.29434663,0.00010090321,Cadillac Cars
Mercedes-Benz Car,0.0023928649118990647,0.28726017,0.00021005218,Vehicle Mercedes-Benz Car
Vehicle Jaguar Car,0.004133130302371111,0.26734662,0.0012711663,Jaguar Cars
Large Lincoln Car,0.0028279312595170763,0.26670182,0.00017993725,Lincoln Car
Dodge Cars,0.001957798564281053,0.28633955,0.0001935694,Dodge Car
Large Mini Cars,0.00043506634761801175,0.27097714,8.904189e-05,Mini Cars
Large Dodge Cars,0.00021753317380900588,0.28130427,0.0,Dodge Cars
Small Tesla Cars,0.00043506634761801175,0.27902704,0.0,Medium Tesla Cars
Citroen Cars,0.003262997607135088,0.28131974,0.00011269251,Citroen Car
Medium Citroen Cars,0.00043506634761801175,0.23494829,0.001888331,Citroen Cars
Small Mini Car,0.0008701326952360235,0.29413232,0.00018466264,Large Mini Car
Small Kia Cars,0.0006525995214270176,0.2948038,4.0501356e-05,Kia Cars
Large Bentley Cars,0.0006525995214270176,0.2952997,0.0037859578,Bentley Cars
Medium Volkswagen Cars,0.0006525995214270176,0.28481948,0.00010219216,Medium Volkswagen Car
