category,fraction,average_dot_product,variance,second_best_category
Rottweiler,0.08583247156153051,0.31502718,0.00012968821,Rottweilers
Bulldog,0.09513960703205791,0.2947572,0.0001622542,Bulldogs
Rottweilers,0.01861427094105481,0.29786372,0.0005159113,Rottweiler
Beagle,0.0889348500517063,0.3047304,6.930218e-05,Beagles
Beagles,0.014477766287487074,0.30928308,0.0002468569,Beagle
Boxer,0.08479834539813857,0.28182384,8.0155165e-05,Boxers
Bulldogs,0.009307135470527405,0.31038746,0.00027391646,Rottweilers
Labrador Retrievers,0.07135470527404343,0.3012118,0.00033024084,Labrador Retriever
Yorkshire Terrier,0.10961737331954498,0.31875753,0.00016381606,Yorkshire Terriers
Poodle,0.0889348500517063,0.29586056,0.00029634873,Poodles
Poodles,0.010341261633919338,0.29399514,9.465218e-06,Poodle
Labrador Retriever,0.04860392967942089,0.29708233,6.0720646e-05,Labrador Retrievers
Golden Retriever,0.07549120992761117,0.3035551,0.000113970615,Labrador Retriever
Golden Retrievers,0.009307135470527405,0.30571786,0.00070844754,Labrador Retrievers
German Shepherd,0.09410548086866598,0.30870914,0.00014475938,German Shepherds
German Shepherds,0.005170630816959669,0.31052297,0.0,Rottweilers
Yorkshire Terriers,0.005170630816959669,0.30670607,0.0,Dachshunds
Dachshund,0.0796277145811789,0.3035703,0.00018566924,Dachshunds
Dachshunds,0.005170630816959669,0.30408958,0.0,Rottweilers
