category,fraction,average_dot_product,variance,second_best_category
Small Iguanas,0.0033090668431502318,0.29895142,0.0003712952,Small Iguana
Iguana,0.012243547319655858,0.31127694,0.00055447785,Medium Iguana
Large Iguana,0.017207147584381206,0.3220914,0.00025166915,Reptile Iguana
Large Iguanas,0.004467240238252812,0.285829,0.0012225839,Large Iguana
Reptile Iguana,0.06353408338848444,0.3042223,0.00017207861,Large Iguana
Small Iguana,0.019688947716743878,0.29551148,0.0005932175,Small Iguanas
Reptile Gecko,0.034910655195234945,0.3025311,0.00012902173,Geckos
Reptile Turtle or Tortoise,0.062210456651224356,0.2990215,9.4951465e-05,Large Turtle or Tortoises
Iguanas,0.0018199867637326275,0.2630625,0.001781404,Iguana
Medium Iguanas,0.0008272667107875579,0.29290438,0.0019051194,Medium Iguana
Reptile Frog,0.042686962276637985,0.29797214,0.00013370662,Reptile Toad
Chameleons,0.0009927200529450694,0.28333968,0.0004235655,Chameleon
Reptile Crocodile or Alligator,0.03987425545996029,0.30409086,0.000114393435,Large Crocodile or Alligator
Reptile Lizard,0.008769027134348115,0.29950956,0.0001753771,Reptile Gecko
Small Crocodile or Alligators,0.012905360688285903,0.28947803,0.00054125296,Large Crocodile or Alligators
Chameleon,0.005790866975512905,0.2954069,0.0012021678,Reptile Chameleon
Medium Iguana,0.002316346790205162,0.30357552,0.00021530049,Iguana
Geckos,0.0067835870284579745,0.2842273,0.00094544014,Gecko
Reptile Chameleon,0.02382528127068167,0.30460507,0.00015436941,Chameleon
Large Gecko,0.004301786896095301,0.28317773,0.0005053924,Geckos
Large Crocodile or Alligator,0.01786896095301125,0.3108671,0.00026100653,Large Crocodile or Alligators
Salamander,0.0026472534745201853,0.27307913,0.0016395599,Small Salamander
Gecko,0.00827266710787558,0.29817373,0.00076836586,Geckos
Large Toads,0.0028127068166776967,0.2837136,0.0010898394,Small Toads
Reptile Toad,0.0814030443414957,0.30402973,0.00017613512,Reptile Frog
Reptile Salamander,0.03060886829913964,0.30209455,0.00017841443,Large Salamander
Large Crocodile or Alligators,0.03673064195896757,0.30465922,0.00030344885,Large Crocodile or Alligator
Large Lizards,0.0018199867637326275,0.29150847,0.00043620847,Small Crocodile or Alligators
Lizard,0.0013236267372600927,0.2997096,0.00013891608,Reptile Lizard
Large Salamanders,0.0021508934480476507,0.30086806,0.00038823715,Salamanders
Frogs,0.0004963600264725347,0.2813168,0.00029004118,Small Frogs
Small Crocodile or Alligator,0.0077763070814030446,0.3034548,0.00035657274,Small Crocodile or Alligators
Large Salamander,0.017207147584381206,0.30671775,0.00027125614,Reptile Salamander
Medium Geckos,0.00016545334215751158,0.30773127,0.0,Medium Gecko
Medium Chameleons,0.0008272667107875579,0.30784056,6.924868e-05,Reptile Chameleon
Small Salamander,0.01886168100595632,0.31106693,0.00025193734,Large Salamander
Salamanders,0.0016545334215751159,0.30340412,0.00038428901,Large Salamander
Small Salamanders,0.004632693580410324,0.3121345,0.00017800501,Large Salamanders
Large Frog,0.010754467240238253,0.30082583,0.00022447293,Large Frogs
Large Geckos,0.0006618133686300463,0.300466,0.0012872741,Geckos
Small Lizard,0.00314361350099272,0.28842774,0.00058462744,Lizard
Small Toads,0.0008272667107875579,0.2989625,0.00010408163,Large Toads
Small Geckos,0.0014890800794176043,0.28814098,0.00047826103,Geckos
Small Gecko,0.0033090668431502318,0.3065508,0.00023162962,Small Geckos
Small Toad,0.005625413633355393,0.3094597,0.00021785848,Reptile Toad
Medium Salamander,0.00033090668431502316,0.24636495,0.0006578155,Salamander
Reptile Snake,0.03739245532759762,0.293368,9.0514666e-05,Large Snake
Large Frogs,0.007114493712772998,0.29703614,0.00024075287,Large Frog
Medium Turtle or Tortoise,0.00827266710787558,0.30824533,6.3343046e-05,Turtle or Tortoise
Medium Gecko,0.0016545334215751159,0.30750507,0.00010291338,Gecko
Large Snake,0.023494374586366645,0.29060802,0.00012392394,Reptile Snake
Snake,0.0009927200529450694,0.27990666,0.0017521282,Large Snake
Turtle or Tortoises,0.0008272667107875579,0.29060337,0.00020328164,Medium Turtle or Tortoises
Small Snake,0.012739907346128392,0.29427886,0.00018740939,Reptile Snake
Small Chameleon,0.00413633355393779,0.2961382,0.0006940937,Reptile Chameleon
Large Lizard,0.0033090668431502318,0.2846364,0.0007449329,Large Lizards
Medium Chameleon,0.0009927200529450694,0.24024288,0.000823463,Chameleon
Large Turtle or Tortoises,0.1158173395102581,0.29687998,0.00018070766,Large Turtle or Tortoise
Small Turtle or Tortoise,0.028623428193249503,0.3024328,0.00014141391,Small Turtle or Tortoises
Large Turtle or Tortoise,0.040866975512905364,0.30432737,0.00023095906,Large Turtle or Tortoises
Small Turtle or Tortoises,0.007445400397088021,0.29131776,0.000328207,Small Turtle or Tortoise
Turtle or Tortoise,0.016214427531436135,0.2985925,0.00026622112,Medium Turtle or Tortoise
Medium Snake,0.00016545334215751158,0.19405337,0.0,Small Snake
Medium Turtle or Tortoises,0.001985440105890139,0.29790676,0.00014918049,Large Turtle or Tortoises
Crocodile or Alligators,0.002316346790205162,0.27789226,0.0014888218,Large Crocodile or Alligators
Small Chameleons,0.0006618133686300463,0.2773658,0.00040026754,Chameleons
Crocodile or Alligator,0.0006618133686300463,0.27940077,0.00021503866,Crocodile or Alligators
Small Lizards,0.0006618133686300463,0.28019547,0.0018436313,Small Iguanas
Toad,0.002481800132362674,0.28344488,0.0014194011,Small Toad
Small Frog,0.003970880211780278,0.3080312,0.000121066965,Reptile Frog
Small Frogs,0.00016545334215751158,0.24026085,0.0,Frogs
Large Toad,0.023494374586366645,0.3090353,0.0002822876,Reptile Toad
Frog,0.008603573792190603,0.30392668,9.941138e-05,Medium Frog
Medium Frog,0.004963600264725348,0.3034007,7.649263e-05,Frog
Medium Toad,0.0004963600264725347,0.31585762,0.00017264485,Large Toad
Large Snakes,0.003970880211780278,0.28997627,8.056561e-05,Large Snake
Small Snakes,0.00016545334215751158,0.29243538,0.0,Large Snakes
Medium Crocodile or Alligator,0.0009927200529450694,0.3186954,0.00011458993,Reptile Crocodile or Alligator
Medium Crocodile or Alligators,0.001158173395102581,0.31086951,7.6089585e-05,Large Crocodile or Alligators
Toads,0.00016545334215751158,0.25668725,0.0,Frogs
Medium Toads,0.00016545334215751158,0.28609207,0.0,Reptile Toad
Medium Frogs,0.00016545334215751158,0.32718563,0.0,Frogs
Large Chameleon,0.0004963600264725347,0.2811867,0.00031636158,Reptile Chameleon
Medium Lizard,0.00016545334215751158,0.30020297,0.0,Lizard
Large Chameleons,0.00016545334215751158,0.31123102,0.0,Chameleons
