file,label
/tmp/tmpwg8xnlx0/Sea Rays/7984224436_5a0ae9a2ba_o.jpg,Large Nudibranchs
/tmp/tmpwg8xnlx0/Sea Rays/7991002370_80bc12a28b_b.jpg,Crab
/tmp/tmpwg8xnlx0/Sea Rays/24032869329_679afc347b_o.jpg,Large Corals
/tmp/tmpwg8xnlx0/Sea Rays/4876526120_a272d8d52d_o.jpg,Large Nudibranchs
/tmp/tmpwg8xnlx0/Sea Rays/33981665455_06829f1896_b.jpg,Large Sea Urchins
/tmp/tmpwg8xnlx0/Sea Rays/16433786544_bcf39327dd_o.jpg,Medium Corals
/tmp/tmpwg8xnlx0/Sea Rays/5162608939_cc8545695f_o.jpg,Large Corals
/tmp/tmpwg8xnlx0/Sea Rays/15460473750_119f467c2f_b.jpg,Large Corals
/tmp/tmpwg8xnlx0/Sea Rays/13164439825_a025205c9a_o.jpg,Large Corals
/tmp/tmpwg8xnlx0/Sea Rays/451018355_278d87ab5f_o.jpg,Large Octopus
/tmp/tmpwg8xnlx0/Sea Rays/2839011747_2b269b0708_o.jpg,Sea Urchin
/tmp/tmpwg8xnlx0/Sea Rays/36588902751_e37b4e6919_b.jpg,Large Clams
/tmp/tmpwg8xnlx0/Sea Rays/5575588417_02d0a7f9e4_o.jpg,Small Seahorses
/tmp/tmpwg8xnlx0/Sea Rays/8373584046_17d56dfc72_o.jpg,Large Corals
/tmp/tmpwg8xnlx0/Sea Rays/13572085964_33f8af9339_o.jpg,Large Corals
/tmp/tmpwg8xnlx0/Sea Rays/8189254658_d4c9ee6dd3_o.jpg,Small Corals
/tmp/tmpwg8xnlx0/Sea Rays/Rays (11).jpg,Medium Nudibranchs
/tmp/tmpwg8xnlx0/Sea Rays/21821863042_a3de41166e_o.jpg,Large Nudibranchs
/tmp/tmpwg8xnlx0/Sea Rays/6463311867_89b1912fe9_b.jpg,Large Starfish
/tmp/tmpwg8xnlx0/Sea Rays/34540387253_6bdfd18a96_o.jpg,Large Puffers
