category,fraction,average_dot_product,variance,second_best_category
Large Sea Rays,0.030705273138356064,0.2882681,0.00016454846,Medium Sea Rays
Large Turtle_Tortoises,0.07986288381591423,0.3045031,0.00025311473,Large Turtle_Tortoise
Medium Sea Rays,0.013711618408577054,0.27600875,0.0002143028,Large Sea Rays
Small Dolphin,0.014222157391875137,0.29531214,0.00021430773,Dolphin
Large Octopus,0.0208591641747502,0.30068007,0.00020206558,Medium Octopus
Large Eel,0.010867186930202027,0.28780547,0.00029324525,Eel
Large Sea Urchins,0.005105389832980818,0.31795895,0.0007479395,Medium Sea Urchins
Puffer,0.021369703158048283,0.2857263,0.00015093441,Large Puffers
Small Corals,0.0192546130843848,0.2925312,0.0001894633,Large Corals
Small Sea Rays,0.002917365618846182,0.28297696,0.00028868316,Large Sea Rays
Large Whales,0.0016045510903654001,0.29772022,0.00016134977,Whales
Nudibranch,0.055940485741375535,0.30127752,0.00031176073,Medium Nudibranchs
Large Sharks,0.018962876522500182,0.2862052,0.00010701693,Shark
Large Corals,0.05885785136022172,0.29419827,0.00019334417,Small Corals
Large Puffers,0.009043833418423164,0.28739402,0.00015195724,Puffer
Large Nudibranchs,0.008022755451827,0.29272443,0.00015519749,Large Nudibranchss
Sea Rayss,0.00014586828094230908,0.25725043,2.5331974e-06,Sea Urchinss
Shark,0.021369703158048283,0.28499785,0.00010705889,Large Sharks
Dolphins,0.0096273065421924,0.30109835,0.00039006,Large Dolphins
Large Sea Rayss,0.0010940121070673182,0.28877673,9.119511e-05,Large Sea Rays
Large Dolphins,0.011158923492086645,0.3029368,0.00024375417,Dolphins
Large Dolphin,0.011523594194442419,0.296143,0.00013867511,Dolphin
Eel,0.007658084749471227,0.28644577,0.00016930899,Small Eel
Large Starfish,0.03238275836919262,0.32689065,0.00024400315,Medium Starfish
Large Whale,0.020494493472394428,0.29547814,0.00016453427,Whale
Sea Urchinss,0.00021880242141346365,0.27395546,4.698833e-06,Large Sea Urchinss
Small Seahorse,0.016410181606009773,0.31225616,0.00043233237,Small Seahorses
Small Turtle_Tortoises,0.016337247465538617,0.306962,0.00021198818,Small Turtle_Tortoise
Large Seal,0.011961199037269346,0.29646918,0.00016307249,Seal
Large Jelly Fish,0.011158923492086645,0.29883128,0.00021402197,Medium Jelly Fish
Small Eels,0.0035008387426154184,0.29376858,0.00014805794,Small Eel
Small Eel,0.012471738020567428,0.28750777,0.00018954695,Eel
Jelly Fishs,0.005834731237692364,0.30991268,0.00032904148,Jelly Fish
Small Puffers,0.0008752096856538546,0.28449956,0.00016333659,Large Puffers
Large Seals,0.001458682809423091,0.29522914,0.00014106631,Seals
Medium Nudibranchs,0.015462037779884764,0.29502988,0.00020915158,Nudibranch
Small Whale,0.0017504193713077092,0.2865514,6.663302e-05,Whale
Large Nudibranchss,0.0019692217927211727,0.29780266,0.0002134023,Large Nudibranchs
Medium Corals,0.007293414047115455,0.2937653,0.00023365021,Large Corals
Large Fishs,0.0008752096856538546,0.28030238,6.663799e-05,Fish
Octopus,0.0012398803880096273,0.28895926,0.00054153975,Large Octopus
Small Octopus,0.003865509444971191,0.2977753,0.0001566545,Medium Octopus
Large Fish,0.006272336080519291,0.2779588,7.7291974e-05,Medium Fish
Large Seahorse,0.01619137918459631,0.3026782,0.00034181064,Medium Seahorse
Dolphin,0.02034862519145212,0.2961857,0.00022542263,Small Dolphin
Large Penguin,0.014149223251403982,0.29516497,0.00021876502,Penguin
Nudibranchss,0.0005105389832980818,0.26955897,0.0001569731,Medium Nudibranchss
Eels,0.00029173656188461817,0.2725179,2.7760863e-05,Small Eels
Large Seahorses,0.00897089927795201,0.29281935,0.0005590935,Small Seahorses
Ray,0.00021880242141346365,0.2107343,9.653469e-05,Fishs
Small Dolphins,0.011742396615855882,0.3118155,0.00022277476,Dolphins
Fish,0.0023338924950769453,0.27632985,6.710738e-05,Medium Fish
Coral,0.0016045510903654001,0.2762172,0.0004664226,Small Corals
Seahorse,0.0016774852308365546,0.28596207,0.0003555184,Medium Seahorse
Large Starfishs,0.0016774852308365546,0.2887499,9.78501e-05,Medium Starfishs
Large Jelly Fishs,0.0010210779665961636,0.2799577,0.00020673445,Medium Jelly Fishs
Small Sharks,0.0005105389832980818,0.29264516,0.00013581345,Large Sharks
Whale,0.002917365618846182,0.28568342,0.00028297902,Large Whale
Sharkss,0.00021880242141346365,0.291,2.532204e-05,Shark
Large Sea Urchinss,0.0012398803880096273,0.27250552,0.00021905058,Large Sea Rays
Large Sharkss,7.293414047115454e-05,0.29494268,0.0,Shark
Seal,0.008460360294653928,0.30320567,0.00011964502,Small Seal
Small Penguin,0.0019692217927211727,0.29638866,0.0001578331,Large Penguin
Large Penguins,0.0026985631974327184,0.30642962,0.0001968242,Medium Penguins
Medium Penguins,0.0005105389832980818,0.283218,0.00046988044,Large Penguins
Penguin,0.0011669462475384727,0.29440993,0.00032138824,Large Penguin
