category,fraction,average_dot_product,variance,second_best_category
Sport ice hockey depictions,0.01704505269113799,0.2743022,0.00022195681,Sport hockey depictions
Large ice hockey depictions,0.0038192234245703373,0.2642731,0.00011767281,Sport ice hockey depictions
ice hockey depiction,0.009406605841997312,0.28058764,0.00016363761,Medium ice hockey depiction
Small hockey depictions,0.004031402503713134,0.27072632,0.00021320477,Small ice hockey depictions
Small ice hockey depiction,0.000424358158285593,0.2929108,0.00024752817,ice hockey depiction
Small ice hockey depictions,0.0019096117122851686,0.27078426,0.00023999038,Sport ice hockey depictions
Medium ice hockey depiction,0.0036777707051418064,0.2780263,0.0001543852,ice hockey depiction
hockey depiction,0.019874107079708606,0.27500644,0.00037012744,Medium hockey depiction
hockey depictions,0.000848716316571186,0.265532,0.0002491971,Sport hockey depictions
Sport ice hockey depiction,0.001697432633142372,0.2950205,0.0005150537,Sport ice hockey depictions
Sport hockey depictions,0.0007779899568569206,0.26967674,0.00029418143,Sport ice hockey depictions
Large hockey depiction,0.0006365372374283895,0.26831856,0.00024382936,Large hockey depictions
Medium hockey depictions,0.00028290543885706204,0.27189398,0.00041336566,hockey depictions
Medium ice hockey depictions,0.0021217907914279654,0.26624945,0.00019890467,Large ice hockey depictions
Large ice hockey depiction,0.0004950845179998585,0.29053497,0.0003493343,ice hockey depiction
ice hockey depictions,0.0002121790791427965,0.27971098,0.00011022886,Sport ice hockey depictions
Sport kabaddi depictions,0.05813706768512625,0.29413602,0.00054433226,Sport kabaddi depiction
Large hockey depictions,0.00035363179857132753,0.26320025,7.332563e-05,Large ice hockey depictions
Medium hockey depiction,0.000424358158285593,0.27244443,0.00036211312,hockey depiction
Sport hockey depiction,0.00028290543885706204,0.2638499,3.4354627e-05,Large hockey depiction
Small hockey depiction,0.0007072635971426551,0.27136296,0.00061369536,hockey depiction
Sport kabaddi depiction,0.003041233467713417,0.3166998,0.00075468904,Sport kabaddi depictions
badminton depiction,0.0056581087771412405,0.28771138,0.0006699801,Small badminton depiction
Small kabaddi depiction,0.000990169035999717,0.3046019,0.00043982267,Sport kabaddi depictions
Medium gymnastics depiction,0.002192517151142231,0.2898075,0.00037527853,gymnastics depiction
Sport badminton depictions,0.04208218402998798,0.2985133,0.00030829807,Small badminton depictions
Sport gymnastics depictions,0.03345356814484758,0.29631355,0.00024021302,gymnastics depiction
Sport fencing depiction,0.00976023764056864,0.3215687,0.00073112955,Sport fencing depictions
Medium football depictions,0.008911521323997454,0.2391482,0.00021859955,Sport football depictions
Sport fencing depictions,0.029068533842563124,0.31064248,0.00060604495,Sport fencing depiction
wrestling depiction,0.01902539076313742,0.28004074,0.00018828864,Sport wrestling depiction
Small badminton depiction,0.0038899497842846027,0.2993925,0.00034261183,badminton depiction
Medium badminton depiction,0.000848716316571186,0.31878832,0.00040626526,badminton depiction
Large kabaddi depictions,7.072635971426551e-05,0.2514499,0.0,Sport kabaddi depictions
Sport wrestling depictions,0.007355541410283613,0.274842,0.00013465606,Large wrestling depictions
Sport wrestling depiction,0.014215998302567368,0.29112843,0.00017737394,wrestling depiction
Small gymnastics depictions,0.00028290543885706204,0.2707889,0.00027269125,Sport gymnastics depictions
Sport volleyball depictions,0.008416436805997596,0.27237585,0.00023986913,volleyball depiction
Small basketball depictions,0.0018388853525709032,0.25776193,0.00012142383,Sport basketball depictions
Large wrestling depictions,0.0034655916259990096,0.27250597,0.000121423174,Sport wrestling depictions
gymnastics depiction,0.0120942075111394,0.3020524,0.0003690162,Medium gymnastics depiction
Medium football depiction,0.0009194426762854516,0.24862385,0.000437466,Small football depictions
Large kabaddi depiction,7.072635971426551e-05,0.30294132,0.0,Sport kabaddi depictions
Large wrestling depiction,0.0004950845179998585,0.2649114,0.00015463574,wrestling depiction
Sport boxing depictions,0.04314307942570196,0.2803811,0.000121863945,Small boxing depictions
