file,label
/tmp/tmpcr43i9gl/Vegetable Images/train/Pumpkin/0715.jpg,Bitter Gourds
/tmp/tmpcr43i9gl/Vegetable Images/train/Pumpkin/0712.jpg,Large Bitter Gourd
/tmp/tmpcr43i9gl/Vegetable Images/train/Pumpkin/0482.jpg,Large Bitter Gourd
/tmp/tmpcr43i9gl/Vegetable Images/train/Pumpkin/0916.jpg,Large Bitter Gourd
/tmp/tmpcr43i9gl/Vegetable Images/train/Pumpkin/0172.jpg,Large Pumpkin
/tmp/tmpcr43i9gl/Vegetable Images/train/Pumpkin/0950.jpg,Large Bitter Gourd
/tmp/tmpcr43i9gl/Vegetable Images/train/Pumpkin/0999.jpg,Large Pumpkin
/tmp/tmpcr43i9gl/Vegetable Images/train/Pumpkin/0179.jpg,Large Bitter Gourd
/tmp/tmpcr43i9gl/Vegetable Images/train/Pumpkin/0285.jpg,Large Bitter Gourd
/tmp/tmpcr43i9gl/Vegetable Images/train/Pumpkin/0708.jpg,Large Cucumber
/tmp/tmpcr43i9gl/Vegetable Images/train/Pumpkin/0667.jpg,Large Bitter Gourd
/tmp/tmpcr43i9gl/Vegetable Images/train/Pumpkin/0786.jpg,Bitter Gourds
/tmp/tmpcr43i9gl/Vegetable Images/train/Pumpkin/0147.jpg,Large Pumpkin
/tmp/tmpcr43i9gl/Vegetable Images/train/Pumpkin/0672.jpg,Large Bitter Gourd
/tmp/tmpcr43i9gl/Vegetable Images/train/Pumpkin/0185.jpg,Bottle Gourds
/tmp/tmpcr43i9gl/Vegetable Images/train/Pumpkin/0441.jpg,Large Bitter Gourd
/tmp/tmpcr43i9gl/Vegetable Images/train/Pumpkin/0920.jpg,Bitter Gourds
/tmp/tmpcr43i9gl/Vegetable Images/train/Pumpkin/0703.jpg,Large Bitter Gourd
/tmp/tmpcr43i9gl/Vegetable Images/train/Pumpkin/0058.jpg,Large Papaya
/tmp/tmpcr43i9gl/Vegetable Images/train/Pumpkin/0738.jpg,Bitter Gourd
/tmp/tmpcr43i9gl/Vegetable Images/train/Pumpkin/0183.jpg,Large Bitter Gourd
/tmp/tmpcr43i9gl/Vegetable Images/train/Pumpkin/0546.jpg,Large Bitter Gourd
/tmp/tmpcr43i9gl/Vegetable Images/train/Pumpkin/0468.jpg,Large Bitter Gourd
/tmp/tmpcr43i9gl/Vegetable Images/train/Pumpkin/0274.jpg,Large Bottle Gourd
/tmp/tmpcr43i9gl/Vegetable Images/train/Pumpkin/0668.jpg,Bitter Gourds
/tmp/tmpcr43i9gl/Vegetable Images/train/Pumpkin/0746.jpg,Large Bitter Gourd
/tmp/tmpcr43i9gl/Vegetable Images/train/Pumpkin/0824.jpg,Large Bottle Gourd
/tmp/tmpcr43i9gl/Vegetable Images/train/Pumpkin/0601.jpg,Large Brinjal
/tmp/tmpcr43i9gl/Vegetable Images/train/Pumpkin/0612.jpg,Large Bitter Gourd
/tmp/tmpcr43i9gl/Vegetable Images/train/Pumpkin/0583.jpg,Large Bitter Gourd
/tmp/tmpcr43i9gl/Vegetable Images/train/Pumpkin/0770.jpg,Bitter Gourds
/tmp/tmpcr43i9gl/Vegetable Images/train/Pumpkin/0532.jpg,Large Bitter Gourd
/tmp/tmpcr43i9gl/Vegetable Images/train/Pumpkin/0476.jpg,Large Bitter Gourd
/tmp/tmpcr43i9gl/Vegetable Images/train/Pumpkin/0177.jpg,Large Bitter Gourd
/tmp/tmpcr43i9gl/Vegetable Images/train/Pumpkin/0819.jpg,Cabbages
/tmp/tmpcr43i9gl/Vegetable Images/train/Pumpkin/0666.jpg,Large Bitter Gourd
/tmp/tmpcr43i9gl/Vegetable Images/train/Pumpkin/0938.jpg,Large Bitter Gourd
/tmp/tmpcr43i9gl/Vegetable Images/train/Pumpkin/0408.jpg,Bitter Gourds
/tmp/tmpcr43i9gl/Vegetable Images/train/Pumpkin/0405.jpg,Bitter Gourds
/tmp/tmpcr43i9gl/Vegetable Images/train/Pumpkin/0888.jpg,Large Bitter Gourd
/tmp/tmpcr43i9gl/Vegetable Images/train/Pumpkin/0487.jpg,Large Bitter Gourd
/tmp/tmpcr43i9gl/Vegetable Images/train/Pumpkin/0052.jpg,Large Bitter Gourd
/tmp/tmpcr43i9gl/Vegetable Images/train/Pumpkin/0990.jpg,Large Bitter Gourd
/tmp/tmpcr43i9gl/Vegetable Images/train/Pumpkin/0860.jpg,Large Bitter Gourd
/tmp/tmpcr43i9gl/Vegetable Images/train/Pumpkin/0307.jpg,Small Bitter Gourd
/tmp/tmpcr43i9gl/Vegetable Images/train/Pumpkin/0833.jpg,Large Bitter Gourd
/tmp/tmpcr43i9gl/Vegetable Images/train/Pumpkin/0322.jpg,Large Bitter Gourd
/tmp/tmpcr43i9gl/Vegetable Images/train/Pumpkin/0552.jpg,Large Bitter Gourd
/tmp/tmpcr43i9gl/Vegetable Images/train/Pumpkin/0784.jpg,Large Pumpkin
/tmp/tmpcr43i9gl/Vegetable Images/train/Pumpkin/0519.jpg,Large Bitter Gourd
/tmp/tmpcr43i9gl/Vegetable Images/train/Pumpkin/0054.jpg,Large Bitter Gourd
