category,fraction,average_dot_product,variance,second_best_category
Large Bottle Gourd,0.0339047619047619,0.3037913,0.00011916643,Bottle Gourd
Bottle Gourd,0.013666666666666667,0.28245547,0.00025840919,Large Bottle Gourd
Large Papaya,0.032,0.31733736,0.0001893157,Large Bitter Gourd
Papayas,0.04228571428571429,0.29838017,0.00013976054,Large Papayas
Large Tomato,0.0048095238095238095,0.3114681,0.0002927969,Small Tomato
Large Capsicum,0.05757142857142857,0.31367114,0.00020551405,Small Capsicum
Large Bitter Gourd,0.03685714285714286,0.31812367,0.0001240713,Large Bitter Gourds
Large Papayas,0.012380952380952381,0.30693346,0.00011404478,Papayas
Large Cucumber,0.04719047619047619,0.32740697,0.0003114656,Large Cucumbers
Large Cucumbers,0.09376190476190477,0.31444335,0.00025939167,Cucumbers
Large Brinjal,0.005047619047619047,0.30802947,0.00018806278,Small Brinjal
Small Papaya,0.0018571428571428571,0.30231646,0.00016433765,Large Papaya
Large Cabbage,0.05285714285714286,0.3141082,0.00040836507,Large Cabbages
Large Cabbages,0.017047619047619048,0.30443707,0.00022494992,Large Cabbage
Large Cauliflower,0.06176190476190476,0.34372345,0.00029736402,Large Cauliflowers
Capsicums,0.007238095238095238,0.29815343,8.1175254e-05,Large Capsicums
Small Capsicum,0.007380952380952381,0.30311245,0.0001731934,Large Capsicum
Capsicum,0.005047619047619047,0.29351887,8.703628e-05,Small Capsicum
Large Capsicums,0.0048095238095238095,0.30986178,0.000104441504,Capsicums
Small Cucumber,0.00842857142857143,0.29365748,0.00034655016,Cucumber
Large Radish,0.0360952380952381,0.31919897,0.00028001287,Large Radishes
Small Bitter Gourd,0.016285714285714285,0.31206515,0.0002242752,Large Bitter Gourd
Cucumbers,0.02214285714285714,0.28369063,0.00026751283,Large Cucumbers
Large Bitter Gourds,0.01633333333333333,0.31536365,0.00012728633,Large Bitter Gourd
Large Cauliflowers,0.004523809523809524,0.3172481,0.0003847323,Large Cauliflower
Cauliflowers,0.0011904761904761906,0.303753,0.00026376723,Large Cauliflowers
Small Cauliflower,0.0006666666666666666,0.3120205,0.00033708982,Large Cauliflower
Large Broccolis,0.07080952380952381,0.31046644,0.00030196394,Broccolis
Cauliflower,0.00038095238095238096,0.28407842,0.000119037926,Large Cauliflower
Small Brinjal,0.002285714285714286,0.2809033,0.00028202435,Large Brinjal
Brinjals,0.0054285714285714284,0.2856685,0.00037759647,Small Brinjal
Small Cabbage,0.0011904761904761906,0.27930915,0.00035912992,Cabbage
Large Carrots,0.07647619047619048,0.3223647,0.00019806973,Large Carrot
Large Radishes,0.014857142857142857,0.30045277,0.00018287927,Large Radish
Large Carrot,0.009904761904761904,0.33869755,0.00016351846,Large Carrots
Large Broccoli,0.009285714285714286,0.32111707,0.0003925617,Large Broccolis
Broccolis,0.043095238095238096,0.29012078,0.00024258102,Large Broccolis
Broccoli,0.0008095238095238096,0.29124394,0.0004206475,Small Broccoli
Beans,0.012619047619047618,0.2647581,8.7219814e-05,Cucumbers
Large Tomatoes,0.010285714285714285,0.30718556,0.00019344577,Tomatoes
Tomatoes,0.016714285714285713,0.3131359,0.00017922556,Large Tomatoes
Small Tomato,0.0016190476190476191,0.31547767,0.00015272113,Large Tomato
Small Radish,0.0005714285714285715,0.30942377,9.53575e-05,Large Radish
Small Broccoli,0.0009047619047619047,0.2931815,0.00031336985,Broccoli
Bitter Gourds,0.0016190476190476191,0.29950574,0.00017530778,Large Bitter Gourds
Papaya,9.523809523809524e-05,0.29500085,0.00014839321,Bitter Gourd
Bitter Gourd,0.0010952380952380953,0.29317638,0.00035009696,Small Bitter Gourd
Large Pumpkins,0.007,0.3146535,0.00014068319,Large Bitter Gourds
Large Bottle Gourds,0.0008095238095238096,0.30062088,0.00016275574,Bottle Gourds
Large Pumpkin,0.002476190476190476,0.31119016,4.721605e-05,Large Bitter Gourd
Bottle Gourds,0.0006666666666666666,0.2936994,0.000110362256,Large Bottle Gourds
Small Carrot,0.0009047619047619047,0.30821943,0.0001449334,Large Carrot
Carrots,0.00019047619047619048,0.30687156,2.9586256e-05,Large Carrots
Potatoes,0.014666666666666666,0.3125086,0.00019690278,Large Potatoes
Potato,0.0026666666666666666,0.31405568,0.00010888065,Large Potato
Large Potatoes,0.02542857142857143,0.31930062,0.0002010074,Potatoes
Large Potato,0.019190476190476192,0.32195088,0.00013852179,Potato
Small Potato,0.0009047619047619047,0.31483883,5.9698756e-05,Large Potato
Tomato,0.0003333333333333333,0.31089243,0.00021954945,Large Tomato
Small Bottle Gourd,0.0004761904761904762,0.2967314,0.00031402707,Bottle Gourd
Cucumber,0.00042857142857142855,0.29242527,7.503563e-05,Cucumbers
Cabbage,0.00019047619047619048,0.261209,6.03497e-07,Small Cabbage
Cabbages,9.523809523809524e-05,0.29405516,0.00080019236,Large Cabbages
Radishes,4.761904761904762e-05,0.27608606,0.0,Capsicum
Large Brinjals,4.761904761904762e-05,0.3180906,0.0,Large Papaya
Brinjal,4.761904761904762e-05,0.2776559,0.0,Small Brinjal
Large Bean,9.523809523809524e-05,0.28006876,2.7246773e-05,Small Cucumber
Radish,0.00014285714285714287,0.2930059,0.00022741158,Small Radish
