category,fraction,average_dot_product,variance,second_best_category
car,0.02717391304347826,0.26024187,0.0001413107,cars
Large cars,0.002173913043478261,0.26136744,0.00015975535,cars
cars,0.006521739130434782,0.25675932,0.0002168566,car
Small rickshaws,0.001358695652173913,0.3086316,0.001342684,Large rickshaws
Small car,0.0024456521739130437,0.27701035,0.0002256367,car
Large car,0.008967391304347826,0.25780508,9.951447e-05,car
fire truck,0.005163043478260869,0.29495072,0.0002325836,Small fire truck
Small cars,0.0002717391304347826,0.28221017,0.0,cars
motorcycles,0.005163043478260869,0.27323902,0.00020372868,motorcycle
hovercraft,0.003260869565217391,0.27259377,0.00022424757,hovercrafts
hovercrafts,0.006793478260869565,0.29371193,0.00026115417,Large hovercrafts
ambulances,0.004076086956521739,0.2933943,0.00068396726,Small ambulances
Mid-Sized car,0.0016304347826086956,0.25762913,0.00025074184,car
Large ambulances,0.003532608695652174,0.28620446,0.0007008773,Small ambulances
tractor,0.008695652173913044,0.30190945,0.0003074333,Small tractor
kayak,0.01684782608695652,0.29440242,0.00025533861,Small kayak
Small scooter,0.022554347826086958,0.29778123,0.00017308039,Large scooter
Large van,0.017119565217391303,0.29014063,0.000245995,Small van
Small van,0.027445652173913045,0.2825625,0.0002326682,Large van
Mid-Sized ambulance,0.012228260869565218,0.30518356,0.0002456665,Small ambulance
Small truck,0.007336956521739131,0.27698052,0.00013966914,truck
Large vans,0.002173913043478261,0.28333038,7.458031e-06,Large van
Mid-Sized van,0.002989130434782609,0.2819617,0.00033692337,Large van
Small motorcycle,0.006793478260869565,0.2815766,0.00020420074,motorcycle
Small ambulance,0.01141304347826087,0.31113255,0.0003024056,Small ambulances
Large ambulance,0.006793478260869565,0.30994266,0.00027445794,Mid-Sized ambulance
Large bus,0.03016304347826087,0.28149348,0.00013301609,Large buses
Small bus,0.002173913043478261,0.28725764,0.00012901425,Large bus
van,0.003260869565217391,0.25347322,0.00060614944,Large van
rickshaws,0.0005434782608695652,0.27540582,0.0008448288,rickshaw
truck,0.008695652173913044,0.28044772,0.00025676936,trucks
boat,0.007336956521739131,0.27487493,0.00023529265,Small boat
