category,fraction,average_dot_product,variance,second_best_category
large gardenia,0.01227830832196453,0.33475405,0.00014689233,medium gardenia
large lilies,0.06548431105047749,0.31682432,8.17279e-05,medium lilies
medium hydrangeas,0.015006821282401092,0.33748925,4.844232e-05,large hydrangeas
flower tulips,0.04911323328785812,0.30799678,5.3286552e-05,large tulips
wild daisies,0.061391541609822645,0.3121749,7.40687e-05,small daisies
medium bougainvillea,0.020463847203274217,0.3250306,0.00018399557,large bougainvillea
flower orchid,0.013642564802182811,0.3091531,1.8680095e-05,orchid
flower lily,0.017735334242837655,0.30820972,6.814186e-05,large lily
flower hibiscus,0.023192360163710776,0.31279233,5.9029637e-05,hibiscus
medium gardenia,0.0504774897680764,0.32697588,0.00017804714,flower gardenia
medium hibiscus,0.004092769440654843,0.3132969,6.06974e-06,wild hibiscus
large hibiscus,0.04911323328785812,0.32071233,8.1923274e-05,flower hibiscus
garden_roses,0.013642564802182811,0.3030057,0.00013977886,flower garden roses
large hydrangeas,0.036834924965893585,0.33483356,0.00011446741,medium hydrangeas
large peony,0.03274215552523874,0.31498682,0.0005228122,medium peony
flower lilies,0.0068212824010914054,0.29531896,1.5842914e-05,large lilies
flower peonies,0.01637107776261937,0.31347525,7.4625015e-05,medium peonies
flower garden roses,0.04229195088676671,0.30104014,9.599809e-05,garden_roses
flower orchids,0.019099590723055934,0.31237724,6.303617e-05,orchids
large bougainvillea,0.045020463847203276,0.33311483,0.00014029127,medium bougainvillea
medium hydrangea,0.009549795361527967,0.33942536,0.00013840199,medium hydrangeas
medium tulip,0.0068212824010914054,0.3190927,6.1702725e-05,tulip
flower gardenia,0.01637107776261937,0.3404957,9.2327595e-05,medium gardenia
medium garden roses,0.020463847203274217,0.3099688,9.302298e-05,large garden roses
bougainvillea,0.002728512960436562,0.32268977,0.0,bougainvilleas
medium lilies,0.013642564802182811,0.31134576,8.984804e-05,large lilies
large daisy,0.013642564802182811,0.31198677,3.207922e-05,flower daisy
flower bougainvilleas,0.008185538881309686,0.31258127,1.736482e-05,bougainvilleas
medium peony,0.01227830832196453,0.3163916,2.6027361e-05,large peony
large peonies,0.010914051841746248,0.31608304,6.298721e-05,large peony
flower hydrangeas,0.0068212824010914054,0.32433063,4.9674512e-05,medium hydrangeas
large orchid,0.01227830832196453,0.31112882,8.7844004e-05,flower orchid
wild gardenias,0.019099590723055934,0.32244778,0.000102911676,small gardenias
flower tulip,0.009549795361527967,0.30796456,7.811614e-05,tulip
large garden rose,0.0068212824010914054,0.30376726,9.676814e-05,medium garden rose
small gardenia,0.002728512960436562,0.32831785,0.0,medium gardenia
flower daisies,0.002728512960436562,0.29080972,4.518777e-05,wild daisies
peonies,0.01227830832196453,0.31678358,4.082918e-05,flower peonies
orchids,0.0286493860845839,0.3137762,4.4629687e-05,flower orchids
wild daisy,0.004092769440654843,0.29553977,0.00060901046,wild daisies
wild hibiscus,0.002728512960436562,0.30804548,3.502518e-05,large hibiscus
hibiscuses,0.004092769440654843,0.30662006,0.0002562801,medium hibiscuses
large tulips,0.019099590723055934,0.30962798,5.8497702e-05,medium tulips
flower garden rose,0.005457025920873124,0.29299867,7.733703e-06,medium garden rose
large tulip,0.004092769440654843,0.3150189,0.00016109149,medium tulip
hibiscus,0.005457025920873124,0.32054818,6.5892935e-05,flower hibiscus
wild bougainvillea,0.001364256480218281,0.32358044,0.0,small bougainvillea
hydrangeas,0.004092769440654843,0.32962653,7.40091e-05,medium hydrangeas
flower hydrangea,0.0068212824010914054,0.31978747,0.00012782813,large hydrangea
medium garden rose,0.008185538881309686,0.305393,0.00013349454,large garden rose
wild garden rose,0.001364256480218281,0.30866432,0.0,medium garden rose
flower daisy,0.01637107776261937,0.30796683,5.1220257e-05,large daisy
small hibiscus,0.001364256480218281,0.31133014,0.0,flower hibiscus
medium tulips,0.005457025920873124,0.31249973,1.5348196e-05,large tulips
medium peonies,0.0068212824010914054,0.3197654,0.0001882553,peonies
flower bougainvillea,0.010914051841746248,0.3148141,0.00012978166,medium bougainvillea
large hibiscuses,0.002728512960436562,0.3019675,7.450581e-09,medium hibiscus
small daisy,0.004092769440654843,0.3105619,7.838011e-06,large daisy
large daisies,0.005457025920873124,0.3197018,1.43274665e-05,medium daisies
large bougainvilleas,0.004092769440654843,0.31612942,0.00014366706,medium bougainvilleas
orchid,0.002728512960436562,0.30332214,9.305775e-06,flower orchids
medium hibiscuses,0.002728512960436562,0.29729152,8.483231e-05,hibiscuses
medium bougainvilleas,0.004092769440654843,0.28765705,0.0005017519,flower bougainvilleas
medium orchids,0.008185538881309686,0.3099843,7.3333584e-05,orchids
large lily,0.009549795361527967,0.3156449,0.0001245652,large lilies
flower peony,0.004092769440654843,0.31262472,2.9951334e-05,medium peony
large gardenias,0.001364256480218281,0.33216885,0.0,flower gardenia
peony,0.001364256480218281,0.3004336,0.0,large peony
large garden roses,0.009549795361527967,0.3069625,7.29646e-05,medium garden roses
tulips,0.001364256480218281,0.3065505,0.0,flower tulips
tulip,0.001364256480218281,0.32570755,0.0,medium tulip
large orchids,0.002728512960436562,0.30158433,8.791685e-07,orchids
small daisies,0.004092769440654843,0.31757692,3.110369e-05,wild daisies
large hydrangea,0.004092769440654843,0.32878578,0.00019407272,large hydrangeas
small bougainvilleas,0.004092769440654843,0.30165383,4.271666e-07,flower bougainvilleas
wild tulip,0.001364256480218281,0.29009527,0.0,flower tulip
medium daisies,0.001364256480218281,0.30210674,0.0,daisies
small bougainvillea,0.001364256480218281,0.3107064,0.0,medium bougainvillea
