file,label
/tmp/tmpv8wlwx0j/Fast Food Classification V2/Train/Taco/Taco-Train (52).jpeg,food taco
/tmp/tmpv8wlwx0j/Fast Food Classification V2/Train/Taco/Taco-Train (836).jpeg,food tacos
/tmp/tmpv8wlwx0j/Fast Food Classification V2/Train/Taco/Taco-Train (292).jpeg,edible taco
/tmp/tmpv8wlwx0j/Fast Food Classification V2/Train/Taco/Taco-Train (815).jpeg,food tacos
/tmp/tmpv8wlwx0j/Fast Food Classification V2/Train/Taco/Taco-Train (514).jpeg,food tacos
/tmp/tmpv8wlwx0j/Fast Food Classification V2/Train/Taco/Taco-Train (631).jpeg,medium taco
/tmp/tmpv8wlwx0j/Fast Food Classification V2/Train/Taco/Taco-Train (922).jpeg,food tacos
/tmp/tmpv8wlwx0j/Fast Food Classification V2/Train/Taco/Taco-Train (268).jpeg,giant taco
/tmp/tmpv8wlwx0j/Fast Food Classification V2/Train/Taco/Taco-Train (458).jpeg,food taco
/tmp/tmpv8wlwx0j/Fast Food Classification V2/Train/Taco/Taco-Train (541).jpeg,food tacos
/tmp/tmpv8wlwx0j/Fast Food Classification V2/Train/Taco/Taco-Train (131).jpeg,giant taco
/tmp/tmpv8wlwx0j/Fast Food Classification V2/Train/Taco/Taco-Train (950).jpeg,food tacos
/tmp/tmpv8wlwx0j/Fast Food Classification V2/Train/Taco/Taco-Train (660).jpeg,food tacos
/tmp/tmpv8wlwx0j/Fast Food Classification V2/Train/Taco/Taco-Train (328).jpeg,food taco
/tmp/tmpv8wlwx0j/Fast Food Classification V2/Train/Taco/Taco-Train (112).jpeg,food taco
/tmp/tmpv8wlwx0j/Fast Food Classification V2/Train/Taco/Taco-Train (182).jpeg,food taco
/tmp/tmpv8wlwx0j/Fast Food Classification V2/Train/Taco/Taco-Train (302).jpeg,large taquitos
/tmp/tmpv8wlwx0j/Fast Food Classification V2/Train/Taco/Taco-Train (308).jpeg,food tacos
/tmp/tmpv8wlwx0j/Fast Food Classification V2/Train/Taco/Taco-Train (902).jpeg,medium sandwiches
/tmp/tmpv8wlwx0j/Fast Food Classification V2/Train/Taco/Taco-Train (872).jpeg,food tacos
/tmp/tmpv8wlwx0j/Fast Food Classification V2/Train/Taco/Taco-Train (290).jpeg,edible tacos
/tmp/tmpv8wlwx0j/Fast Food Classification V2/Train/Taco/Taco-Train (1169).jpeg,medium taco
/tmp/tmpv8wlwx0j/Fast Food Classification V2/Train/Taco/Taco-Train (1454).jpeg,giant taco
