category,fraction,average_dot_product,variance,second_best_category
Baked Potato,0.0159,0.3026837,0.00055542233,Baked Potatoes
Baked Potatoes,0.07375,0.30143407,0.0006082826,Small Baked Potatoes
Crispy Chicken,0.0605,0.2889619,0.00042740372,Crispy Chickens
Large Baked Potatoes,0.00895,0.30050454,0.0004778814,Baked Potatoes
Small Crispy Chickens,0.01645,0.28806207,0.0001893087,Crispy Chickens
Taquitos,0.0204,0.2886762,0.00087898853,Small Taquitos
Small Baked Potatoes,0.00495,0.2941606,0.00052048464,Baked Potatoes
Large Taco,0.0162,0.2843647,0.00023864816,Large Tacos
Small Tacos,0.0642,0.28709167,0.00023585762,Tacos
Small Pizzas,0.0042,0.27649003,0.0001747438,Pizza
Large Baked Potato,0.0009,0.29932296,0.0003130436,Baked Potato
Hot Dog,0.00695,0.2941005,0.00027469936,Large Hot Dog
Fries,0.07505,0.29664993,0.0003056739,Fries
Sandwiches,0.0112,0.28350964,0.00042256288,Sandwich
Pizza,0.0552,0.282212,0.00011169738,Large Pizza
Large Burgers,0.0115,0.28334466,0.00018656357,Burgers
Sandwich,0.04745,0.28457195,0.00024139114,Large Sandwich
Donut,0.02865,0.29331908,0.00028509035,Large Donut
Donuts,0.0447,0.28998497,0.00025171027,Donut
Large Donut,0.01485,0.30080724,0.00015726314,Donut
Large Donuts,0.00935,0.2867652,0.00020233705,Donuts
Small Donuts,0.0009,0.27613556,0.00022629897,Donuts
Burger,0.02815,0.27774483,0.00012617637,Large Burger
Small Hot Dogs,0.01545,0.29493162,0.00028356534,Large Hot Dogs
Large Hot Dog,0.02805,0.2962738,0.00021339866,Large Hot Dogs
Large Hot Dogs,0.0381,0.29502898,0.00022407592,Hot Dogs
Small Taquito,0.0001,0.25610983,3.5852194e-05,Small Taquitos
Small Sandwiches,0.0053,0.2851214,0.00037312057,Sandwiches
Burgers,0.00445,0.26713276,0.00031095676,Small Burgers
Large Sandwich,0.03435,0.29102665,0.00021563868,Sandwich
Hot Dogs,0.00465,0.29105803,0.00063560857,Large Hot Dogs
Large Sandwiches,0.009,0.28795934,0.00040048495,Sandwiches
Small Burger,0.01125,0.27927697,0.00015408834,Burger
Large Crispy Chicken,0.0188,0.2882454,0.0002534694,Crispy Chicken
Large Tacos,0.0129,0.27856514,0.00025049105,Small Tacos
Small Taquitos,0.0388,0.29982537,0.00026747125,Taquitos
Large Taquitos,0.02055,0.29750368,0.00027022164,Small Taquitos
Large Taquito,0.00345,0.2905622,0.00031606012,Taquito
Large Burger,0.034,0.28734073,0.00010832057,Burger
Small Hot Dog,0.0006,0.29423407,0.00012702744,Hot Dog
Small Sandwich,0.001,0.28606138,0.0004097998,Sandwich
Small Burgers,0.00355,0.2791871,0.00018808203,Burgers
Small Crispy Chicken,0.00645,0.27478346,0.00040177043,Crispy Chicken
Large Pizza,0.0341,0.28763857,9.803548e-05,Pizza
Large Pizzas,0.00575,0.2785945,0.00018866995,Large Pizza
Small Pizza,0.0021,0.27997375,0.0002485911,Pizza
Pizzas,0.00095,0.27105615,0.00031873427,Pizza
Crispy Chickens,0.0077,0.2944459,0.00018685205,Crispy Chicken
Tacos,0.00465,0.2775743,0.00039302662,Small Tacos
Taco,0.0041,0.27451748,0.0005909524,Tacos
Large Crispy Chickens,0.0047,0.29467687,0.00030583524,Crispy Chicken
Small Fries,0.012,0.29006848,0.00041903654,Small Fries
Large Fries,0.01095,0.29472455,0.0003130229,Large Fries
Small Baked Potato,0.0001,0.27843457,0.00064528733,Small Baked Potatoes
Small Donut,0.00015,0.2771802,5.6823096e-06,Donut
Small Taco,0.0015,0.2842529,0.00060100557,Taco
Taquito,0.0001,0.26610422,0.0019826367,Large Taquito
