category,fraction,average_dot_product,variance,second_best_category
Fruit Banana,0.026458208057727,0.3111896,0.00022625923,Fruit Bananas
Fruit Bananas,0.054419723391461214,0.31146955,0.00017650878,Fruit Banana
Bananas,0.0018039687312086591,0.31404468,0.00031087795,Banana
Large Banana,0.005111244738424534,0.32245398,6.0761675e-05,Fruit Banana
Fruit Avocado,0.018340348767288035,0.29467916,0.00016954297,Small Avocado
Banana,0.001503307276007216,0.308184,0.00022830963,Fruit Banana
Fruit Kiwis,0.039386650631389054,0.3299912,0.00054861023,Fruit Kiwi
Medium Bananas,0.0012026458208057728,0.3224684,0.00016835332,Fruit Bananas
Medium Banana,0.001503307276007216,0.3176013,0.00015438795,Banana
strawberries,0.03367408298256164,0.30364272,9.503535e-05,Medium strawberries
Large strawberries,0.023752254960914012,0.30465668,8.342839e-05,Medium strawberries
strawberry,0.005411906193625977,0.30383042,0.00013632906,Fruit strawberry
Small strawberries,0.0009019843656043296,0.31332144,4.9958628e-05,strawberries
Fruit strawberries,0.009019843656043296,0.2987975,7.5157484e-05,Fruit strawberry
Large strawberry,0.00841852074564041,0.31850737,0.00015923807,strawberry
Fruit strawberry,0.008719182200841852,0.3010476,8.590468e-05,strawberry
Medium strawberries,0.009921828021647625,0.30472454,4.9453793e-05,strawberries
Medium strawberry,0.0006013229104028864,0.29632264,0.00013326854,strawberry
Small Kiwis,0.008117859290438966,0.33123764,0.00059201097,Kiwis
Kiwis,0.03487672880336741,0.33181775,0.0004128752,Small Kiwis
Large Kiwis,0.004509921828021648,0.31889966,0.0004109939,Kiwis
Fruit Kiwi,0.016235718580877932,0.3229595,0.00047342866,Fruit Kiwis
Medium Kiwi,0.0021046301864101023,0.32809156,0.00025378805,Kiwis
Small Avocados,0.009921828021647625,0.30799904,9.267258e-05,Small Avocado
Large Mango,0.014431749849669273,0.31617877,0.00023156404,Large Mangoes
Large Pineapple,0.018641010222489478,0.3208887,0.00010198932,Fruit Pineapple
Fruit Pineapple,0.04028863499699339,0.31975713,0.00014917886,Pineapple
Pineapples,0.0003006614552014432,0.32741386,0.0,Medium Pineapples
Fruit Pineapples,0.018340348767288035,0.3167717,0.00018926527,Fruit Pineapple
Large Pineapples,0.004810583283223091,0.31941098,0.0001084134,Fruit Pineapples
Pineapple,0.011425135297654841,0.31468666,0.0001825408,Fruit Pineapple
Small Pineapple,0.004810583283223091,0.32005832,0.00011226535,Fruit Pineapple
Medium Pineapple,0.0018039687312086591,0.32424858,1.758337e-05,Pineapple
Small Pineapples,0.0018039687312086591,0.32016098,0.000121464334,Fruit Pineapples
Medium Cherries,0.008719182200841852,0.306944,0.00017362628,Large Cherries
Cherries,0.03668069753457607,0.3153889,0.00010435699,Large Cherries
Large Oranges,0.005712567648827421,0.31179753,0.00015165932,Fruit Oranges
Large Cherry,0.005111244738424534,0.3128616,0.00020287317,Large Cherries
Fruit Cherries,0.006915213469633193,0.30379537,0.00012805151,Cherries
Large Cherries,0.03517739025856885,0.3106201,0.00016325763,Cherries
Fruit Cherry,0.0036079374624173183,0.2940181,0.0002835691,Fruit Cherries
Small Apple,0.0027059530968129887,0.29619053,0.00023321311,Apple
Fruit Apple,0.013830426939266387,0.297915,7.6843346e-05,Large Apple
Small Cherries,0.0006013229104028864,0.28917152,5.4612756e-06,Cherries
Fruit Orange,0.04539987973541792,0.3111788,0.00019358957,Oranges
Fruit Oranges,0.02555622369212267,0.31398082,0.00013507395,Small Oranges
Medium Oranges,0.0009019843656043296,0.32650575,3.049771e-06,Oranges
Oranges,0.007817197835237523,0.32186592,9.464301e-05,Fruit Orange
Large Mangoes,0.04539987973541792,0.31491518,0.00025073424,Fruit Mangoes
Fruit Apples,0.006313890559230307,0.29788476,0.00010439328,Apples
Small Apples,0.0027059530968129887,0.29734617,9.432104e-05,Apples
Small Oranges,0.0024052916416115455,0.3084542,0.00035961717,Fruit Oranges
Large Orange,0.005111244738424534,0.31578684,9.680496e-05,Fruit Orange
Large Apples,0.014431749849669273,0.30123696,7.591645e-05,Apples
Large Apple,0.027059530968129887,0.30232555,5.4359436e-05,Fruit Apple
Apples,0.02555622369212267,0.3003279,5.878e-05,Fruit Apples
Apple,0.004509921828021648,0.29644412,5.0846735e-05,Fruit Apple
Medium Apples,0.003307276007215875,0.29787692,3.665144e-05,Apples
Fruit Mango,0.00841852074564041,0.30572948,0.0002890655,Fruit Mangoes
Large Avocado,0.020144317498496694,0.3117518,0.00015890064,Small Avocado
Small Avocado,0.029464822609741433,0.3032926,0.00011590062,Large Avocado
Large Avocados,0.00841852074564041,0.3085639,0.00018646887,Large Avocado
Fruit Mangoes,0.013529765484064944,0.3114733,0.00013924704,Mangoes
Large Watermelons,0.04028863499699339,0.32029942,0.00023577818,Medium Watermelons
Fruit Avocados,0.003307276007215875,0.29183376,5.22516e-05,Fruit Avocado
Avocados,0.0024052916416115455,0.30341464,0.0005430877,Small Avocados
Fruit Watermelons,0.03006614552014432,0.31229004,0.00015823364,Fruit Watermelon
Watermelon,0.010222489476849068,0.30962443,4.6701993e-05,Fruit Watermelon
Fruit Watermelon,0.011725796752856284,0.30817848,0.0001721749,Fruit Watermelons
Large Watermelon,0.004509921828021648,0.3223234,7.9854326e-05,Large Watermelons
Medium Watermelon,0.001503307276007216,0.30136865,0.00053391454,Watermelon
Watermelons,0.0003006614552014432,0.31235975,0.0,Large Watermelons
Mangoes,0.01413108839446783,0.30652618,0.00035471612,Fruit Mangoes
Small Mangoes,0.0039085989176187615,0.30813468,0.00019080822,Large Mangoes
Mango,0.0012026458208057728,0.32091036,0.00021594763,Fruit Mango
Kiwi,0.0003006614552014432,0.3335159,0.0,Small Kiwi
Large Kiwi,0.0003006614552014432,0.31050417,0.0,Medium Kiwi
Medium Pineapples,0.0003006614552014432,0.2872562,0.0,Pineapple
Small Bananas,0.004509921828021648,0.2873615,0.0003805876,Fruit Bananas
Large Bananas,0.0027059530968129887,0.29199824,0.00037448935,Fruit Bananas
Small strawberry,0.0006013229104028864,0.29903996,1.3366342e-05,strawberry
Cherry,0.0003006614552014432,0.29092246,0.0,Fruit Cherry
Medium Apple,0.0003006614552014432,0.29373527,0.0,Large Apple
Medium Orange,0.0006013229104028864,0.24394082,0.00030507892,Orange
Small Orange,0.0024052916416115455,0.30420774,0.00021157414,Fruit Orange
Orange,0.0009019843656043296,0.30177787,4.676978e-05,Large Orange
Medium Mangoes,0.0006013229104028864,0.2796843,5.0365925e-06,Medium Oranges
Avocado,0.0018039687312086591,0.29323608,0.0010398924,Avocados
Small Watermelon,0.0009019843656043296,0.3204787,0.00010049343,Watermelons
Medium Watermelons,0.0009019843656043296,0.32858688,0.002411594,Large Watermelons
Small Watermelons,0.0003006614552014432,0.2797196,0.0,Medium Watermelons
Medium Mango,0.0006013229104028864,0.29797292,9.141862e-06,Mango
