category,fraction,average_dot_product,variance,second_best_category
Large billiard_ball,0.03609990184316719,0.2934306,0.00048197145,billiard_ball
billiard_balls,0.03500927036754281,0.30434233,0.00057033286,billiard_ball
billiard_ball,0.01537790380630385,0.30936852,0.0005197998,billiard_balls
rugby_balls,0.005235031082997056,0.28658503,0.0008054326,rugby_ball
table_tennis_balls,0.03708147017122914,0.29456207,0.00087689795,table_tennis_ball
tennis_balls,0.03817210164685353,0.29234162,0.0009736361,tennis_ball
bowling_balls,0.01712291416730287,0.3012871,0.00052914344,bowling_ball
bowling_ball,0.04504307994328716,0.30100542,0.00069495843,Large bowling_ball
cricket_balls,0.0076344203293707055,0.2842567,0.0008591652,cricket_ball
Large bowling_ball,0.025520776529610645,0.3034219,0.0006057788,bowling_ball
Large table_tennis_ball,0.006980041443996074,0.29904106,0.0008289814,table_tennis_ball
golf_balls,0.04776965863234813,0.2921415,0.0006577043,golf_ball
baseballs,0.023993892463736503,0.28437507,0.00022078428,Large baseball
hockey_pucks,0.022357945250299924,0.29182577,0.0010354391,hockey_puck
Large golf_ball,0.04798778492747301,0.29811877,0.000496006,golf_ball
golf_ball,0.02988330243210819,0.29096982,0.00042964768,Large golf_ball
footballs,0.0437343221725379,0.2800934,0.0001920857,Large football
tennis_ball,0.024757334496673573,0.30175313,0.000732153,Large tennis_ball
volleyballs,0.03948085941760279,0.29417345,0.00023911407,volleyball
Large tennis_ball,0.03097393390773258,0.30930877,0.0007894744,tennis_ball
table_tennis_ball,0.01625040898680336,0.28926826,0.00063634396,Large table_tennis_ball
Large hockey_puck,0.02192169266005017,0.29827702,0.00079990027,hockey_puck
basketballs,0.027702039480859416,0.29309142,0.00023661635,Large basketball
Large basketball,0.012215072526993128,0.2859207,0.00020637682,basketballs
american_football,0.0011996946231868251,0.24499898,0.00038594007,Large american_football
Large cricket_ball,0.03260988112116916,0.3194729,0.00031211623,cricket_ball
Large football,0.06500163594721343,0.2882459,0.00019394151,footballs
Large baseball,0.02104918747955066,0.28832582,0.00018354031,baseballs
baseball,0.006761915148871196,0.27346018,0.0002560154,Large baseball
cricket_ball,0.03871741738466572,0.30284414,0.0005965542,Large cricket_ball
hockey_balls,0.007089104591558512,0.29902074,0.00089574227,hockey_ball
Large hockey_ball,0.00490784164030974,0.28541392,0.0008069144,hockey_ball
american_footballs,0.014069146035554586,0.28046072,0.00059231307,footballs
hockey_puck,0.010251935870869233,0.29732767,0.00080820854,hockey_pucks
Large rugby_ball,0.06042098374959101,0.31454304,0.0005327424,rugby_ball
hockey_ball,0.023230450430799434,0.2869249,0.00040212818,Large hockey_ball
shuttlecock,0.009597556985494601,0.25685135,0.0004888827,Large shuttlecock
Large volleyball,0.005235031082997056,0.28444433,0.00020198524,volleyballs
volleyball,0.012760388264805323,0.28228462,0.00020817814,volleyballs
basketball,0.006325662558621442,0.28011712,0.00026875528,basketballs
football,0.0010906314756243866,0.2642077,0.0001897931,footballs
Large american_football,0.002617515541498528,0.2667769,0.00039259097,american_football
Large shuttlecock,0.011451630494056059,0.25930467,0.00026103883,shuttlecock
shuttlecocks,0.0017450103609990184,0.2393091,0.00031760707,shuttlecock
rugby_ball,0.0055622205256843716,0.291899,0.0006013384,Large rugby_ball
