file,label
/tmp/tmpcw9tevbx/train/tennis_ball/tennis_230.jpg,Sports tennis ball
/tmp/tmpcw9tevbx/train/tennis_ball/tennis_134.jpg,Sports tennis ball
/tmp/tmpcw9tevbx/train/tennis_ball/tennis_15.jpg,Sports tennis ball
/tmp/tmpcw9tevbx/train/tennis_ball/tennis_375.jpg,Large tennis balls
/tmp/tmpcw9tevbx/train/tennis_ball/tennis_598.jpg,Sports tennis ball
/tmp/tmpcw9tevbx/train/tennis_ball/tennis_701.jpg,Small tennis ball
/tmp/tmpcw9tevbx/train/tennis_ball/tennis_131.jpg,Sports tennis ball
/tmp/tmpcw9tevbx/train/tennis_ball/tennis_417.jpg,Sports tennis balls
/tmp/tmpcw9tevbx/train/tennis_ball/tennis_844.jpg,Sports volleyballs
/tmp/tmpcw9tevbx/train/tennis_ball/tennis_689.jpg,Sports tennis ball
/tmp/tmpcw9tevbx/train/tennis_ball/tennis_549.jpg,Sports tennis balls
/tmp/tmpcw9tevbx/train/tennis_ball/tennis_512.jpg,Sports tennis ball
/tmp/tmpcw9tevbx/train/tennis_ball/tennis_731.jpg,Sports tennis balls
/tmp/tmpcw9tevbx/train/tennis_ball/tennis_372.jpg,Sports tennis ball
/tmp/tmpcw9tevbx/train/tennis_ball/tennis_537.jpg,Medium tennis balls
/tmp/tmpcw9tevbx/train/tennis_ball/tennis_138.jpg,Sports volleyballs
/tmp/tmpcw9tevbx/train/tennis_ball/tennis_853.jpg,Large hockey puck
/tmp/tmpcw9tevbx/train/tennis_ball/tennis_669.jpg,Sports table tennis balls
/tmp/tmpcw9tevbx/train/tennis_ball/tennis_55.jpg,Sports volleyballs
/tmp/tmpcw9tevbx/train/tennis_ball/tennis_675.jpg,Sports tennis ball
/tmp/tmpcw9tevbx/train/tennis_ball/tennis_290.jpg,Sports tennis ball
/tmp/tmpcw9tevbx/train/tennis_ball/tennis_539.jpg,Sports tennis balls
/tmp/tmpcw9tevbx/train/tennis_ball/tennis_778.jpg,Sports tennis ball
/tmp/tmpcw9tevbx/train/tennis_ball/tennis_720.jpg,Small tennis ball
/tmp/tmpcw9tevbx/train/tennis_ball/tennis_776.jpg,Sports tennis balls
/tmp/tmpcw9tevbx/train/tennis_ball/tennis_608.jpg,Sports tennis ball
/tmp/tmpcw9tevbx/train/tennis_ball/tennis_865.jpg,Sports tennis ball
/tmp/tmpcw9tevbx/train/tennis_ball/tennis_800.jpg,Sports volleyballs
/tmp/tmpcw9tevbx/train/tennis_ball/tennis_557.jpg,Sports tennis ball
/tmp/tmpcw9tevbx/train/tennis_ball/tennis_225.jpg,Small tennis ball
/tmp/tmpcw9tevbx/train/tennis_ball/tennis_7.jpg,Small tennis ball
/tmp/tmpcw9tevbx/train/tennis_ball/tennis_838.jpg,Medium table tennis ball
/tmp/tmpcw9tevbx/train/tennis_ball/tennis_208.jpg,tennis balls
/tmp/tmpcw9tevbx/train/tennis_ball/tennis_884.jpg,Large tennis ball
/tmp/tmpcw9tevbx/train/tennis_ball/tennis_562.jpg,Sports tennis ball
/tmp/tmpcw9tevbx/train/tennis_ball/tennis_791.jpg,Medium cricket ball
/tmp/tmpcw9tevbx/train/tennis_ball/tennis_918.jpg,Sports tennis ball
/tmp/tmpcw9tevbx/train/tennis_ball/tennis_105.jpg,Sports tennis balls
/tmp/tmpcw9tevbx/train/tennis_ball/tennis_927.jpg,table tennis ball
/tmp/tmpcw9tevbx/train/tennis_ball/tennis_741.jpg,Medium tennis balls
/tmp/tmpcw9tevbx/train/tennis_ball/tennis_327.jpg,Medium table tennis ball
/tmp/tmpcw9tevbx/train/tennis_ball/tennis_165.jpg,Sports tennis balls
/tmp/tmpcw9tevbx/train/tennis_ball/tennis_645.jpg,Sports tennis ball
/tmp/tmpcw9tevbx/train/tennis_ball/tennis_769.jpg,Small tennis balls
/tmp/tmpcw9tevbx/train/tennis_ball/tennis_223.jpg,Sports tennis ball
/tmp/tmpcw9tevbx/train/tennis_ball/tennis_250.jpg,Sports tennis ball
/tmp/tmpcw9tevbx/train/tennis_ball/tennis_323.jpg,Sports tennis balls
/tmp/tmpcw9tevbx/train/tennis_ball/tennis_426.jpg,Sports cricket ball
/tmp/tmpcw9tevbx/train/tennis_ball/tennis_453.jpg,Medium tennis balls
/tmp/tmpcw9tevbx/train/tennis_ball/tennis_422.jpg,Small tennis balls
/tmp/tmpcw9tevbx/train/tennis_ball/tennis_94.jpg,Sports tennis ball
/tmp/tmpcw9tevbx/train/tennis_ball/tennis_816.jpg,Sports tennis ball
/tmp/tmpcw9tevbx/train/tennis_ball/tennis_3.jpg,Sports tennis balls
/tmp/tmpcw9tevbx/train/tennis_ball/tennis_159.jpg,Medium table tennis balls
/tmp/tmpcw9tevbx/train/tennis_ball/tennis_218.jpg,Sports tennis ball
/tmp/tmpcw9tevbx/train/tennis_ball/tennis_445.jpg,Sports tennis ball
/tmp/tmpcw9tevbx/train/tennis_ball/tennis_915.jpg,Sports tennis balls
/tmp/tmpcw9tevbx/train/tennis_ball/tennis_895.jpg,Sports tennis ball
/tmp/tmpcw9tevbx/train/tennis_ball/tennis_566.jpg,Sports tennis ball
/tmp/tmpcw9tevbx/train/tennis_ball/tennis_577.jpg,Small tennis ball
/tmp/tmpcw9tevbx/train/tennis_ball/tennis_467.jpg,Sports tennis balls
/tmp/tmpcw9tevbx/train/tennis_ball/tennis_220.jpg,Large tennis balls
