category,fraction,average_dot_product,variance,second_best_category
Small dew,0.07709122704750801,0.2831971,0.00025650053,dew
dew,0.00728650539201399,0.26665086,0.00029149532,Small dew
frosts,0.023608277470125328,0.27308425,0.00025169938,Small frosts
rains,0.012824249489944622,0.26493835,0.00018705022,Medium rain
Large dew,0.017050422617312738,0.275705,0.00024646366,Small dew
Small rain,0.004663363450888954,0.26653403,0.00028300285,Small rains
rain,0.006703584960652871,0.2727431,0.00013871815,rains
Medium rain,0.009035266686097347,0.26166484,0.00014460471,Large rain
Large rain,0.04415622267560478,0.25918698,0.00015975146,Large rains
Small frost,0.003788982803847275,0.28101707,0.00019733723,frost
glazes,0.0001457301078402798,0.25995564,0.0,Small glazes
Small frosts,0.01501020110754882,0.27497983,0.00021575262,frosts
Small dews,0.0004371903235208394,0.25480667,0.0003825327,Large dew
Small rime,0.000728650539201399,0.23552518,0.00020703077,rime
Small rains,0.002331681725444477,0.25496292,0.0003869459,Small rain
Large frosts,0.02054794520547945,0.2650061,0.00024968683,frosts
frost,0.018216263480034977,0.27453896,0.00022744751,Large frost
Large frost,0.16132322937918975,0.283883,0.00020259591,frost
Medium rime,0.0013115709705625181,0.24821647,8.808242e-05,Large rime
Large rime,0.07665403672398717,0.28391728,0.00020663186,Large frost
Small hail,0.02083940542116001,0.28301358,0.00029388507,Large hail
rainbow,0.01471874089186826,0.29505125,0.00011408211,Small rainbow
Medium rainbow,0.0001457301078402798,0.23225652,0.0,Small rime
fogsmog,0.030166132322937918,0.2813283,0.0002468496,Large fogsmog
Large sandstorms,0.010784027980180706,0.27707043,0.00047814523,Large sandstorm
Large fogsmogs,0.0008743806470416788,0.24884771,0.00021346907,fogsmogs
Medium snow,0.011075488195861264,0.25627914,0.00015499718,Large snow
Large fogsmog,0.06499562809676479,0.28483933,0.0002266067,fogsmog
Small snow,0.019236374234916934,0.26129547,0.00018740422,snow
Small snows,0.0032060623724861556,0.25812212,0.00021897121,Small snow
Medium frost,0.0008743806470416788,0.25264362,0.000196293,Large frost
Large sandstorm,0.09632760128242494,0.30387327,0.00046937514,Large sandstorms
sandstorm,0.0032060623724861556,0.28475195,0.00032020157,Large sandstorm
Small fogsmog,0.012095598950743223,0.27217335,0.0003487633,fogsmog
Small sandstorm,0.001457301078402798,0.28648493,0.0003667414,Large sandstorm
Medium fogsmog,0.004517633343048674,0.27464142,0.00034363038,fogsmog
Medium sandstorm,0.0002914602156805596,0.2846537,0.00027811527,sandstorm
sandstorms,0.002914602156805596,0.28974807,0.00029385687,Large sandstorm
Large rains,0.004517633343048674,0.25069892,0.00014187828,Large rain
Small sandstorms,0.0001457301078402798,0.23156705,0.0,Large sandstorms
lightnings,0.0002914602156805596,0.2655524,0.0009872094,Large lightnings
snow,0.026085689303410084,0.26333392,0.0001825194,Small snow
fogsmogs,0.0005829204313611193,0.2577528,0.00037819147,Large fogsmogs
Large snow,0.02389973768580589,0.26078108,0.00014146944,Medium snow
Large hails,0.0001457301078402798,0.26345697,0.0,Large rain
Large rainbow,0.011366948411541825,0.29579654,8.760354e-05,rainbow
rainbows,0.001457301078402798,0.29607916,9.268522e-05,rainbow
Large rainbows,0.0020402215097639173,0.2949691,0.00013082368,Large rainbow
Small rainbow,0.0034975225881667153,0.29527846,8.3496176e-05,rainbow
Small rainbows,0.0008743806470416788,0.2954329,2.989173e-05,rainbows
Large hail,0.05800058292043136,0.3020941,0.00037076365,Small hail
Large lightnings,0.010492567764500145,0.29470158,0.00023487542,Large lightning
rime,0.000728650539201399,0.25641686,0.00014923811,Large rime
Large snows,0.004954823666569514,0.2606113,0.00015508427,Large snow
snows,0.0017487612940833576,0.26443556,0.00010023018,Large snows
Medium hail,0.0032060623724861556,0.26768368,0.00025748124,Large hail
Small hails,0.0004371903235208394,0.26441288,3.89268e-05,Small snows
Large glazes,0.0001457301078402798,0.24531028,0.0,Large rime
Small lightnings,0.0001457301078402798,0.24265033,0.0,snow
lightning,0.02054794520547945,0.2925504,6.566825e-05,Large lightning
Small lightning,0.005392013990090353,0.29227546,5.2684063e-05,lightning
Large lightning,0.018507723695715534,0.2935477,6.6847315e-05,lightning
Medium lightning,0.0001457301078402798,0.2690055,0.0,lightning
