category,fraction,average_dot_product,variance,second_best_category
Wild Swan,0.0026486876956417047,0.29032007,0.00022112859,Large Swan
Animal Swan,0.0064669258023459806,0.3073556,0.00011617579,Large Swan
Small Turkey,0.0003439854150184032,0.29829454,0.00017943382,Animal Turkey
Large Swan,0.0015823329090846549,0.29668757,0.00022180183,Animal Swan
Small Goose,0.0029582745691582677,0.2983401,0.00015439544,Animal Goose
Swans,0.001926318324103058,0.300884,0.00024507727,Wild Swan
Animal Raven,0.00027518833201472257,0.2823976,0.00011263043,Large Raven
Animal Goose,0.004953389976265006,0.30044118,0.00015134281,Small Goose
Small Swan,0.0010319562450552097,0.30487642,0.000197347,Animal Swan
Animal Ostrich,0.0005159781225276049,0.2970485,0.0004422188,Ostrich
Animal Duck,0.004437411853737402,0.2980306,0.00021137563,Wild Duck
Wild Zebra,0.0026142891541398646,0.31118742,0.00015639004,Small Zebra
Small Zebra,0.003611846857693234,0.31767756,0.000245721,Wild Zebra
Zebras,0.00037838395652024353,0.31685314,0.0004011826,Wild Zebra
Camels,0.0006191737470331258,0.29646242,0.00028710894,Wild Camel
Zebra,0.00041278249802208385,0.3163333,0.00022461016,Wild Zebra
Small Woodpecker,0.0013415431185717726,0.30246776,0.00039746822,Wild Woodpecker
Animal Woodpecker,0.0023047022806233016,0.3029669,0.00036333568,Large Woodpecker
Woodpeckers,0.0005159781225276049,0.28621846,0.0010930618,Animal Woodpecker
Large Magpie,0.0017543256165938564,0.30265436,0.0006271624,Magpie
Wild Woodpecker,0.0015823329090846549,0.31207708,0.00026458243,Large Woodpecker
Large Woodpecker,0.002373499363626982,0.31217927,0.00027758142,Wild Woodpecker
Wild Squirrel,0.0022015066561177805,0.294571,5.698949e-05,Animal Squirrel
Animal Magpie,0.002235905197619621,0.2995311,0.0004965269,Magpie
Woodpecker,0.00027518833201472257,0.29525572,0.00040056556,Animal Woodpecker
Harbor Seal,0.0005503766640294451,0.30128393,0.00036991388,Small Harbor Seal
Animal Sea Lion,0.0042998176877300405,0.3042031,0.00014030456,Sea Lion
Sea Lions,0.0011351518695607305,0.30172452,0.00030763945,Animal Sea Lion
Small Harbor Seal,0.0009287606205496887,0.3011828,0.0002475668,Harbor Seal
Small Sea Lion,0.004437411853737402,0.30841133,0.00016991668,Animal Sea Lion
Animal Whale,0.0011351518695607305,0.27419645,0.00017728227,Wild Whale
Animal Harbor Seal,0.003611846857693234,0.3029947,0.00011373247,Harbor Seal
Wild Harbor Seal,0.0006879708300368064,0.3026189,0.00031651853,Large Harbor Seal
Harbor Seals,0.0013415431185717726,0.2967647,0.00033494143,Harbor Seal
Wild Otter,0.002579890612638024,0.29773977,0.00025644302,Otter
Small Hippopotamus,0.0005847752055312855,0.31474698,0.00029854215,Wild Hippopotamus
Otter,0.0012383474940662516,0.30953223,0.00014144844,Animal Otter
Sea Lion,0.0009975577035533693,0.30569774,0.0002877219,Animal Sea Lion
Animal Otter,0.00027518833201472257,0.29925695,9.173155e-05,Otter
Large Harbor Seal,0.0007567679130404871,0.29972073,0.000106616455,Wild Harbor Seal
Wild Sea Lion,0.0005847752055312855,0.29603013,0.000359991,Animal Sea Lion
Large Sea Lion,0.0012039489525644113,0.2992845,0.00023640224,Animal Sea Lion
Wild Sea Turtle,0.0022015066561177805,0.29045057,0.0003060773,Animal Sea Turtle
Large Panda,0.0019607168656048985,0.30501574,9.432174e-05,Animal Panda
Animal Panda,0.0012383474940662516,0.2971226,0.00010326174,Large Panda
Pandas,0.00020639124901104193,0.29777634,0.00013478597,Animal Panda
Animal Red panda,0.001926318324103058,0.33180144,8.1709455e-05,Red panda
Panda,0.00010319562450552096,0.28667164,0.00016572575,Large Panda
Wild Panda,0.00020639124901104193,0.29943514,5.0177176e-05,Animal Panda
Red panda,0.0008255649960441677,0.32533938,0.00011520585,Animal Red panda
Animal Raccoon,0.0026142891541398646,0.30908212,0.00021352894,Wild Raccoon
Rhinoceroses,0.0007223693715386468,0.29428998,0.0003264575,Wild Rhinoceros
Wild Rhinoceros,0.004884592893261326,0.3005542,0.00011454838,Large Rhinoceros
Large Rhinoceros,0.0020639124901104195,0.3111921,0.00018215974,Wild Rhinoceros
Small Rhinoceros,0.0005503766640294451,0.30176985,0.00027140975,Wild Rhinoceros
Animal Rhinoceros,0.0005503766640294451,0.29910648,0.00030315667,Large Rhinoceros
Wild Hippopotamus,0.0013415431185717726,0.30972692,0.00032615662,Large Hippopotamus
Rhinoceros,0.00010319562450552096,0.28986782,0.0009872516,Large Rhinoceros
Wild Elephant,0.0015479343675828144,0.29566467,0.00010665788,Animal Elephant
Wild Hamster,0.0007223693715386468,0.2814032,6.406648e-05,Animal Hamster
Hamster,0.0019607168656048985,0.29691768,0.00012485604,Small Hamster
Animal Mouse,0.0028550789446527467,0.2858777,0.00015739074,Small Mouse
Wild Mouse,0.0019607168656048985,0.29042655,0.00014812904,Animal Mouse
Animal Lynx,0.0012727460355680918,0.27676848,0.00017001822,Lynxes
Hamsters,0.00044718103952392417,0.29394126,9.896205e-05,Hamster
Small Kangaroo,0.0020983110316122595,0.30549452,0.00024085748,Animal Kangaroo
Animal Hamster,0.0010319562450552097,0.29192182,0.00016344388,Hamster
Large Hamster,0.0005159781225276049,0.29781893,0.00028749308,Animal Hamster
Pigs,0.0011007533280588903,0.28588322,8.7209046e-05,Animal Pig
Small Hamster,0.0010319562450552097,0.29958206,0.00015968482,Hamster
Large Mouse,0.0006535722885349662,0.2836646,0.00026091776,Animal Mouse
Small Raccoon,0.00027518833201472257,0.30124232,0.00028952956,Wild Raccoon
Small Lion,0.0003095868735165629,0.2919648,8.9645386e-05,Wild Lion
Small Hedgehog,0.0008255649960441677,0.31489244,0.00021337469,Hedgehog
Animal Hedgehog,0.0008943620790478483,0.30634978,0.00032404752,Hedgehog
Small Mouse,0.0008943620790478483,0.29553908,0.00022524137,Animal Mouse
Large Tiger,0.005469368098792611,0.29540652,9.116287e-05,Wild Tiger
Tigers,0.001823122699597537,0.28639805,0.00019553922,Large Tiger
Wild Tiger,0.0024078979051288226,0.28946644,9.796279e-05,Large Tiger
Animal Tiger,0.0008943620790478483,0.289578,0.00016139104,Large Tiger
Small Tiger,0.00044718103952392417,0.28469056,0.00014827802,Wild Tiger
Animal Zebra,0.0005159781225276049,0.30188358,0.00017570655,Wild Zebra
Animal Jaguar,0.0025454920711361836,0.30788684,0.00029727575,Large Jaguar
Tiger,0.00024078979051288225,0.292835,0.00037580729,Animal Tiger
Wild Lion,0.0014447387430772936,0.28733248,4.4362885e-05,Large Lion
Wild Duck,0.004712600185752124,0.29230714,0.000119070064,Animal Duck
Large Goose,0.0021671081146159405,0.3070436,0.00021044414,Small Goose
Ducks,0.002029513948608579,0.29113913,0.0002024699,Wild Duck
Geese,0.002579890612638024,0.28704494,0.0001947848,Wild Goose
Wild Penguin,0.00643252726084414,0.3028141,0.00018833793,Animal Penguin
Wild Turkey,0.0012039489525644113,0.29987285,0.00028652465,Animal Turkey
Lion,0.0014791372845791339,0.29157335,8.4904736e-05,Large Lion
Large Lion,0.005813353513811015,0.29572293,0.00010858908,Lion
Lions,0.00024078979051288225,0.29108742,0.0001370481,Wild Lion
Animal Camel,0.0015479343675828144,0.2941674,0.00029174486,Camel
Animal Lion,0.0011007533280588903,0.28943732,0.00013554096,Large Lion
Animal Polar Bear,0.005125382683774208,0.3123068,0.000114159295,Polar Bear
Wild Goat,0.0029238760276564272,0.29416728,0.00018410402,Animal Goat
Small Ostrich,0.002786281861649066,0.30740193,0.0002100085,Ostrich
Ostrich,0.0027174847786453856,0.3115725,0.00012520295,Animal Ostrich
Wild Ostrich,0.0008255649960441677,0.3050648,0.00047662854,Large Ostrich
Large Ostrich,0.0009287606205496887,0.3131645,0.0007176841,Animal Ostrich
Ostriches,0.0003095868735165629,0.30389893,0.00035881333,Wild Ostrich
Wild Kangaroo,0.0014791372845791339,0.28872278,0.00015298156,Kangaroo
Small Camel,0.0008943620790478483,0.28642115,0.00043227122,Animal Camel
Large Monkey,0.007189295173884627,0.27808312,0.00017388814,Animal Monkey
Small Monkey,0.0030270716521619482,0.29160452,0.00017603961,Animal Monkey
Animal Monkey,0.018850400743008495,0.28837067,0.00012495222,Wild Monkey
Monkeys,0.0015823329090846549,0.27837387,0.00012617008,Animal Monkey
Wild Monkey,0.004781397268755805,0.2843489,0.00017636114,Animal Monkey
Animal Mule,0.0007567679130404871,0.27260867,0.00019305944,Wild Mule
Animal Koala,0.0005503766640294451,0.28722596,0.00027777255,Wild Koala
Animal Horse,0.004540607478242922,0.2807393,0.0001367439,Small Horse
