file,label
/tmp/tmphipjnhm8/Food Classification dataset/apple_pie/591398.jpg,apple_pie
/tmp/tmphipjnhm8/Food Classification dataset/apple_pie/2527163.jpg,apple_pie
/tmp/tmphipjnhm8/Food Classification dataset/apple_pie/3549466.jpg,Crispy Chicken
/tmp/tmphipjnhm8/Food Classification dataset/apple_pie/2528236.jpg,apple_pie
/tmp/tmphipjnhm8/Food Classification dataset/apple_pie/343461.jpg,apple_pie
/tmp/tmphipjnhm8/Food Classification dataset/apple_pie/1596650.jpg,Crispy Chicken
/tmp/tmphipjnhm8/Food Classification dataset/apple_pie/2601847.jpg,apple_pie
/tmp/tmphipjnhm8/Food Classification dataset/apple_pie/259923.jpg,apple_pie
/tmp/tmphipjnhm8/Food Classification dataset/apple_pie/3177727.jpg,apple_pie
/tmp/tmphipjnhm8/Food Classification dataset/apple_pie/3420738.jpg,apple_pie
/tmp/tmphipjnhm8/Food Classification dataset/apple_pie/3547012.jpg,apple_pie
/tmp/tmphipjnhm8/Food Classification dataset/apple_pie/1830100.jpg,apple_pie
/tmp/tmphipjnhm8/Food Classification dataset/apple_pie/1072416.jpg,apple_pie
/tmp/tmphipjnhm8/Food Classification dataset/apple_pie/1420999.jpg,apple_pie
/tmp/tmphipjnhm8/Food Classification dataset/apple_pie/1735072.jpg,apple_pie
/tmp/tmphipjnhm8/Food Classification dataset/apple_pie/2337652.jpg,apple_pie
/tmp/tmphipjnhm8/Food Classification dataset/apple_pie/987860.jpg,Baked Potato
/tmp/tmphipjnhm8/Food Classification dataset/apple_pie/3257241.jpg,apple_pie
/tmp/tmphipjnhm8/Food Classification dataset/apple_pie/2856319.jpg,apple_pie
/tmp/tmphipjnhm8/Food Classification dataset/apple_pie/2101662.jpg,apple_pie
/tmp/tmphipjnhm8/Food Classification dataset/apple_pie/2564881.jpg,apple_pie
/tmp/tmphipjnhm8/Food Classification dataset/apple_pie/3670548.jpg,apple_pie
/tmp/tmphipjnhm8/Food Classification dataset/apple_pie/3913827.jpg,apple_pie
/tmp/tmphipjnhm8/Food Classification dataset/apple_pie/1280767.jpg,apple_pie
/tmp/tmphipjnhm8/Food Classification dataset/apple_pie/245712.jpg,apple_pie
/tmp/tmphipjnhm8/Food Classification dataset/apple_pie/2523219.jpg,apple_pie
/tmp/tmphipjnhm8/Food Classification dataset/apple_pie/123782.jpg,apple_pie
/tmp/tmphipjnhm8/Food Classification dataset/apple_pie/3021995.jpg,apple_pie
/tmp/tmphipjnhm8/Food Classification dataset/apple_pie/2447421.jpg,apple_pie
/tmp/tmphipjnhm8/Food Classification dataset/apple_pie/1350394.jpg,apple_pie
/tmp/tmphipjnhm8/Food Classification dataset/apple_pie/1050519.jpg,apple_pie
/tmp/tmphipjnhm8/Food Classification dataset/apple_pie/2856273.jpg,apple_pie
/tmp/tmphipjnhm8/Food Classification dataset/apple_pie/3448753.jpg,apple_pie
/tmp/tmphipjnhm8/Food Classification dataset/apple_pie/2110985.jpg,apple_pie
/tmp/tmphipjnhm8/Food Classification dataset/apple_pie/3551588.jpg,apple_pie
/tmp/tmphipjnhm8/Food Classification dataset/apple_pie/2627767.jpg,apple_pie
/tmp/tmphipjnhm8/Food Classification dataset/apple_pie/3676950.jpg,Donut
/tmp/tmphipjnhm8/Food Classification dataset/apple_pie/2334907.jpg,apple_pie
/tmp/tmphipjnhm8/Food Classification dataset/apple_pie/2231842.jpg,apple_pie
/tmp/tmphipjnhm8/Food Classification dataset/apple_pie/2915359.jpg,apple_pie
/tmp/tmphipjnhm8/Food Classification dataset/apple_pie/1822764.jpg,apple_pie
/tmp/tmphipjnhm8/Food Classification dataset/apple_pie/1235282.jpg,apple_pie
/tmp/tmphipjnhm8/Food Classification dataset/apple_pie/1847621.jpg,apple_pie
/tmp/tmphipjnhm8/Food Classification dataset/apple_pie/597533.jpg,apple_pie
/tmp/tmphipjnhm8/Food Classification dataset/apple_pie/2416573.jpg,apple_pie
/tmp/tmphipjnhm8/Food Classification dataset/apple_pie/182745.jpg,apple_pie
/tmp/tmphipjnhm8/Food Classification dataset/apple_pie/2708417.jpg,apple_pie
/tmp/tmphipjnhm8/Food Classification dataset/apple_pie/418685.jpg,apple_pie
/tmp/tmphipjnhm8/Food Classification dataset/apple_pie/2288697.jpg,apple_pie
/tmp/tmphipjnhm8/Food Classification dataset/apple_pie/2769470.jpg,apple_pie
/tmp/tmphipjnhm8/Food Classification dataset/apple_pie/3485833.jpg,apple_pie
/tmp/tmphipjnhm8/Food Classification dataset/apple_pie/2400434.jpg,apple_pie
/tmp/tmphipjnhm8/Food Classification dataset/apple_pie/116697.jpg,apple_pie
/tmp/tmphipjnhm8/Food Classification dataset/apple_pie/2109273.jpg,apple_pie
/tmp/tmphipjnhm8/Food Classification dataset/apple_pie/3252424.jpg,apple_pie
/tmp/tmphipjnhm8/Food Classification dataset/apple_pie/1323309.jpg,apple_pie
/tmp/tmphipjnhm8/Food Classification dataset/apple_pie/1854241.jpg,apple_pie
/tmp/tmphipjnhm8/Food Classification dataset/apple_pie/23893.jpg,apple_pie
/tmp/tmphipjnhm8/Food Classification dataset/apple_pie/2519446.jpg,apple_pie
/tmp/tmphipjnhm8/Food Classification dataset/apple_pie/1897389.jpg,apple_pie
/tmp/tmphipjnhm8/Food Classification dataset/apple_pie/2189388.jpg,apple_pie
/tmp/tmphipjnhm8/Food Classification dataset/apple_pie/1581853.jpg,apple_pie
/tmp/tmphipjnhm8/Food Classification dataset/apple_pie/323108.jpg,apple_pie
/tmp/tmphipjnhm8/Food Classification dataset/apple_pie/1068632.jpg,apple_pie
/tmp/tmphipjnhm8/Food Classification dataset/apple_pie/2929448.jpg,apple_pie
/tmp/tmphipjnhm8/Food Classification dataset/apple_pie/2520241.jpg,apple_pie
/tmp/tmphipjnhm8/Food Classification dataset/apple_pie/2948680.jpg,apple_pie
/tmp/tmphipjnhm8/Food Classification dataset/apple_pie/416233.jpg,apple_pie
/tmp/tmphipjnhm8/Food Classification dataset/apple_pie/997124.jpg,apple_pie
/tmp/tmphipjnhm8/Food Classification dataset/apple_pie/1005649.jpg,apple_pie
/tmp/tmphipjnhm8/Food Classification dataset/apple_pie/3746599.jpg,apple_pie
/tmp/tmphipjnhm8/Food Classification dataset/apple_pie/2762199.jpg,apple_pie
/tmp/tmphipjnhm8/Food Classification dataset/apple_pie/913161.jpg,apple_pie
/tmp/tmphipjnhm8/Food Classification dataset/apple_pie/222074.jpg,apple_pie
/tmp/tmphipjnhm8/Food Classification dataset/apple_pie/3770020.jpg,apple_pie
/tmp/tmphipjnhm8/Food Classification dataset/apple_pie/2477191.jpg,apple_pie
/tmp/tmphipjnhm8/Food Classification dataset/apple_pie/2961406.jpg,apple_pie
/tmp/tmphipjnhm8/Food Classification dataset/apple_pie/3696282.jpg,apple_pie
/tmp/tmphipjnhm8/Food Classification dataset/apple_pie/1057749.jpg,apple_pie
/tmp/tmphipjnhm8/Food Classification dataset/apple_pie/317970.jpg,apple_pie
/tmp/tmphipjnhm8/Food Classification dataset/apple_pie/407267.jpg,apple_pie
/tmp/tmphipjnhm8/Food Classification dataset/apple_pie/2486622.jpg,apple_pie
/tmp/tmphipjnhm8/Food Classification dataset/apple_pie/3471337.jpg,apple_pie
/tmp/tmphipjnhm8/Food Classification dataset/apple_pie/909196.jpg,Crispy Chicken
/tmp/tmphipjnhm8/Food Classification dataset/apple_pie/296614.jpg,apple_pie
/tmp/tmphipjnhm8/Food Classification dataset/apple_pie/1429866.jpg,Donut
/tmp/tmphipjnhm8/Food Classification dataset/apple_pie/2553659.jpg,apple_pie
/tmp/tmphipjnhm8/Food Classification dataset/apple_pie/3833386.jpg,apple_pie
/tmp/tmphipjnhm8/Food Classification dataset/apple_pie/2869633.jpg,apple_pie
/tmp/tmphipjnhm8/Food Classification dataset/apple_pie/238868.jpg,apple_pie
/tmp/tmphipjnhm8/Food Classification dataset/apple_pie/2975948.jpg,cheesecake
/tmp/tmphipjnhm8/Food Classification dataset/apple_pie/2995608.jpg,chicken_curry
/tmp/tmphipjnhm8/Food Classification dataset/apple_pie/2698000.jpg,apple_pie
/tmp/tmphipjnhm8/Food Classification dataset/apple_pie/2839261.jpg,apple_pie
/tmp/tmphipjnhm8/Food Classification dataset/apple_pie/1819763.jpg,Donut
/tmp/tmphipjnhm8/Food Classification dataset/apple_pie/283209.jpg,apple_pie
/tmp/tmphipjnhm8/Food Classification dataset/apple_pie/2612593.jpg,apple_pie
/tmp/tmphipjnhm8/Food Classification dataset/apple_pie/490047.jpg,apple_pie
/tmp/tmphipjnhm8/Food Classification dataset/apple_pie/3373840.jpg,apple_pie
/tmp/tmphipjnhm8/Food Classification dataset/apple_pie/2490410.jpg,apple_pie
/tmp/tmphipjnhm8/Food Classification dataset/apple_pie/2536578.jpg,apple_pie
/tmp/tmphipjnhm8/Food Classification dataset/apple_pie/532423.jpg,apple_pie
/tmp/tmphipjnhm8/Food Classification dataset/apple_pie/656340.jpg,apple_pie
/tmp/tmphipjnhm8/Food Classification dataset/apple_pie/2206034.jpg,apple_pie
/tmp/tmphipjnhm8/Food Classification dataset/apple_pie/1528187.jpg,masala_dosa
/tmp/tmphipjnhm8/Food Classification dataset/apple_pie/1399051.jpg,apple_pie
/tmp/tmphipjnhm8/Food Classification dataset/apple_pie/3349423.jpg,apple_pie
/tmp/tmphipjnhm8/Food Classification dataset/apple_pie/1558101.jpg,apple_pie
/tmp/tmphipjnhm8/Food Classification dataset/apple_pie/455977.jpg,apple_pie
/tmp/tmphipjnhm8/Food Classification dataset/apple_pie/420643.jpg,apple_pie
/tmp/tmphipjnhm8/Food Classification dataset/apple_pie/2446500.jpg,apple_pie
/tmp/tmphipjnhm8/Food Classification dataset/apple_pie/2724897.jpg,ice_cream
/tmp/tmphipjnhm8/Food Classification dataset/apple_pie/3243441.jpg,Crispy Chicken
/tmp/tmphipjnhm8/Food Classification dataset/apple_pie/3466310.jpg,apple_pie
/tmp/tmphipjnhm8/Food Classification dataset/apple_pie/839808.jpg,cheesecake
/tmp/tmphipjnhm8/Food Classification dataset/apple_pie/2479319.jpg,apple_pie
/tmp/tmphipjnhm8/Food Classification dataset/apple_pie/3269273.jpg,apple_pie
/tmp/tmphipjnhm8/Food Classification dataset/apple_pie/3267436.jpg,apple_pie
/tmp/tmphipjnhm8/Food Classification dataset/apple_pie/1840575.jpg,apple_pie
/tmp/tmphipjnhm8/Food Classification dataset/apple_pie/3517723.jpg,apple_pie
/tmp/tmphipjnhm8/Food Classification dataset/apple_pie/2923139.jpg,apple_pie
/tmp/tmphipjnhm8/Food Classification dataset/apple_pie/2383378.jpg,apple_pie
/tmp/tmphipjnhm8/Food Classification dataset/apple_pie/305590.jpg,apple_pie
/tmp/tmphipjnhm8/Food Classification dataset/apple_pie/1727085.jpg,apple_pie
/tmp/tmphipjnhm8/Food Classification dataset/apple_pie/2983047.jpg,apple_pie
/tmp/tmphipjnhm8/Food Classification dataset/apple_pie/2698889.jpg,apple_pie
/tmp/tmphipjnhm8/Food Classification dataset/apple_pie/2680614.jpg,apple_pie
/tmp/tmphipjnhm8/Food Classification dataset/apple_pie/134.jpg,apple_pie
/tmp/tmphipjnhm8/Food Classification dataset/apple_pie/3438714.jpg,apple_pie
/tmp/tmphipjnhm8/Food Classification dataset/apple_pie/3025907.jpg,apple_pie
/tmp/tmphipjnhm8/Food Classification dataset/apple_pie/3829004.jpg,apple_pie
/tmp/tmphipjnhm8/Food Classification dataset/apple_pie/2722635.jpg,apple_pie
/tmp/tmphipjnhm8/Food Classification dataset/apple_pie/1166116.jpg,apple_pie
/tmp/tmphipjnhm8/Food Classification dataset/apple_pie/2395631.jpg,apple_pie
/tmp/tmphipjnhm8/Food Classification dataset/apple_pie/3720779.jpg,apple_pie
/tmp/tmphipjnhm8/Food Classification dataset/apple_pie/755031.jpg,apple_pie
