category,fraction,average_dot_product,variance,second_best_category
Image of pretty Banana,0.006915213469633193,0.3018853,0.0004516581,Image of Banana
Picture of pretty Bananas,0.05772699939867709,0.31316134,0.00019146006,Image of pretty Banana
Image of Banana,0.009019843656043296,0.30664667,0.00083245436,Picture of Banana
Picture of Banana,0.021046301864101023,0.32051483,0.00025416102,Image of Banana
Cool Mango,0.004810583283223091,0.30621207,0.00019497424,Image of Mango
Bananas,0.0018039687312086591,0.32115805,0.0002679924,Image of Banana
Cool Banana,0.0003006614552014432,0.3274093,0.0,Picture of pretty Bananas
Detailed Banana,0.0009019843656043296,0.31015205,0.0002692143,Image of pretty Banana
Kiwis,0.06855081178592905,0.3293125,0.00044049716,Cool Kiwi
Image of strawberries,0.06043295249549008,0.31111896,0.00013267934,Image of pretty strawberries
Cool strawberries,0.006013229104028864,0.3052532,0.00022500753,Image of strawberries
Image of pretty strawberries,0.022850270595309682,0.31019455,0.0001245486,Image of strawberries
Picture of strawberries,0.005712567648827421,0.3108472,0.00015230555,Image of strawberries
Picture of pretty strawberries,0.003307276007215875,0.31410635,4.487688e-05,Image of pretty strawberries
Pretty strawberries,0.0021046301864101023,0.31328803,0.00012683017,Image of pretty strawberries
Detailed strawberries,0.0006013229104028864,0.30603576,6.34864e-05,Cool strawberries
strawberries,0.0003006614552014432,0.26708233,0.0,strawberries
Pretty Kiwi,0.0036079374624173183,0.31102178,0.0006535053,Cool Kiwi
Kiwi,0.001503307276007216,0.32734546,0.00025782586,Cool Kiwi
Cool Kiwi,0.022248947684906796,0.32730368,0.00015935382,Kiwis
Picture of pretty Kiwis,0.0006013229104028864,0.29475954,1.3411045e-07,Kiwis
Image of Kiwi,0.001503307276007216,0.2887352,0.0010688842,Cool Kiwi
Picture of pretty Avocados,0.023752254960914012,0.31029084,0.0002454263,Image of Avocado
Image of Avocado,0.050811785929043896,0.31441075,0.00025468183,Picture of Avocado
Image of pretty Mango,0.011725796752856284,0.3085611,0.00033979537,Image of Mango
Picture of Mango,0.0039085989176187615,0.31635958,7.556035e-05,Image of Mango
Picture of Pineapple,0.06013229104028864,0.3324012,0.0001270485,Image of Pineapple
Image of Pineapple,0.011725796752856284,0.31428578,0.00032515405,Picture of Pineapple
Image of pretty Pineapple,0.00841852074564041,0.3141258,0.00030981642,Image of Pineapple
Picture of pretty Pineapples,0.01593505712567649,0.32973605,0.00011100409,Picture of Pineapple
Cool Pineapple,0.005111244738424534,0.32414588,0.00023564871,Picture of Pineapple
Detailed Pineapple,0.0006013229104028864,0.31952816,0.00046829134,Image of Pineapple
Pineapple,0.0006013229104028864,0.31556863,0.0,Image of Pineapple
Picture of pretty Cherries,0.061034275405892964,0.31543604,0.00016933122,Cherries
Picture of pretty Oranges,0.0619362597714973,0.32138783,0.0001811333,Picture of Orange
Image of Cherry,0.02555622369212267,0.3126836,0.00026320288,Picture of pretty Cherries
Cherries,0.00751653638003608,0.30925122,0.00014919281,Picture of pretty Cherries
Image of pretty Apple,0.03998797354179194,0.30591357,7.0564725e-05,Picture of Apple
Cool Cherry,0.0024052916416115455,0.28785717,0.0002784133,Image of Cherry
Picture of Apple,0.009621166566446182,0.307011,4.1991472e-05,Image of pretty Apple
Picture of pretty Apples,0.04028863499699339,0.30537698,0.00010169442,Apples
Image of pretty Cherry,0.0006013229104028864,0.268687,0.00011881441,Image of Cherry
Picture of Orange,0.01984365604329525,0.31992522,0.0002807704,Image of Orange
Oranges,0.0021046301864101023,0.30827254,0.00038951635,Image of Orange
Image of Orange,0.009921828021647625,0.31077263,0.00023816571,Picture of Orange
Picture of pretty Mangoes,0.06674684305472038,0.3176224,0.00022602081,Mangoes
Apples,0.005111244738424534,0.29964182,3.1471252e-05,Picture of pretty Apples
Detailed Apple,0.0009019843656043296,0.30702916,0.000100423895,Cool Apple
Cool Apple,0.0009019843656043296,0.2979776,7.3333584e-05,Image of Apple
Picture of Avocado,0.010823812387251955,0.31459346,0.00031829544,Image of Avocado
Image of pretty Avocado,0.010523150932050512,0.31457427,0.00015804428,Image of Avocado
Mangoes,0.005111244738424534,0.30544248,0.0007892707,Picture of pretty Mangoes
Avocados,0.0012026458208057728,0.3197303,0.00020255148,Image of Avocado
Picture of pretty Watermelons,0.025255562236921228,0.321362,0.00027942657,Watermelons
Picture of Watermelon,0.040889957907396274,0.32247868,0.00014165569,Image of Watermelon
Image of Watermelon,0.023752254960914012,0.31886795,0.0001795322,Picture of Watermelon
Image of pretty Watermelon,0.0036079374624173183,0.3081237,6.938974e-05,Image of Watermelon
Detailed Watermelon,0.0012026458208057728,0.31234765,0.0009721145,Image of Watermelon
Cool Watermelon,0.003006614552014432,0.30176395,0.00033423305,Image of Watermelon
Watermelons,0.0018039687312086591,0.32439983,0.00095589954,Picture of pretty Watermelons
Image of Mango,0.0132291040288635,0.31120434,0.00043236127,Image of pretty Mango
Image of Apple,0.0039085989176187615,0.29744142,0.00014878236,Image of pretty Apple
Cool Orange,0.0012026458208057728,0.29047567,7.010996e-05,Image of Orange
Image of pretty Orange,0.0009019843656043296,0.27509496,0.0003168434,Cool Orange
Detailed Orange,0.0003006614552014432,0.3196923,0.0,Cool Orange
Cool Avocado,0.003307276007215875,0.31426945,0.0005232096,Image of Avocado
Detailed Avocado,0.0003006614552014432,0.28975654,0.0,Image of Avocado
Mango,0.0003006614552014432,0.32561624,0.0,Image of Mango
Pretty Mango,0.0003006614552014432,0.2964854,0.0,Image of pretty Mango
