file,label
/tmp/tmphm3ox1rk/test/billiard_ball/billiard_ball_110.jpg,Image of billiard_ball
/tmp/tmphm3ox1rk/test/billiard_ball/billiard_ball_666.jpg,Picture of the billiard_balls
/tmp/tmphm3ox1rk/test/billiard_ball/billiard_ball_497.jpg,Image of billiard_ball
/tmp/tmphm3ox1rk/test/billiard_ball/billiard_ball_480.jpg,Picture of billiard_ball
/tmp/tmphm3ox1rk/test/billiard_ball/billiard_ball_118.jpg,Picture of the billiard_balls
/tmp/tmphm3ox1rk/test/billiard_ball/billiard_ball_532.jpg,Image of billiard_balls
/tmp/tmphm3ox1rk/test/billiard_ball/billiard_ball_309.jpg,Image of bowling_ball
/tmp/tmphm3ox1rk/test/billiard_ball/billiard_ball_39.jpg,Image of billiard_balls
/tmp/tmphm3ox1rk/test/billiard_ball/billiard_ball_623.jpg,Image of billiard_ball
/tmp/tmphm3ox1rk/test/billiard_ball/billiard_ball_385.jpg,Image of billiard_ball
/tmp/tmphm3ox1rk/test/billiard_ball/billiard_ball_914.jpg,Picture of the billiard_balls
/tmp/tmphm3ox1rk/test/billiard_ball/billiard_ball_1074.jpg,Picture of the billiard_balls
/tmp/tmphm3ox1rk/test/billiard_ball/billiard_ball_1335.jpg,Image of billiard_ball
/tmp/tmphm3ox1rk/test/billiard_ball/billiard_ball_888.jpg,Picture of the billiard_balls
/tmp/tmphm3ox1rk/test/billiard_ball/billiard_ball_123.jpg,Image of billiard_ball
/tmp/tmphm3ox1rk/test/billiard_ball/billiard_ball_891.jpg,Picture of the billiard_balls
/tmp/tmphm3ox1rk/test/billiard_ball/billiard_ball_865.jpg,Image of bowling_ball
/tmp/tmphm3ox1rk/test/billiard_ball/billiard_ball_121.jpg,Picture of the billiard_balls
/tmp/tmphm3ox1rk/test/billiard_ball/billiard_ball_956.jpg,Picture of the billiard_balls
/tmp/tmphm3ox1rk/test/billiard_ball/billiard_ball_1322.jpg,Picture of the billiard_balls
/tmp/tmphm3ox1rk/test/billiard_ball/billiard_ball_826.jpg,Image of bowling_ball
/tmp/tmphm3ox1rk/test/billiard_ball/billiard_ball_6.jpg,Image of billiard_ball
/tmp/tmphm3ox1rk/test/billiard_ball/billiard_ball_674.jpg,Picture of billiard_ball
/tmp/tmphm3ox1rk/test/billiard_ball/billiard_ball_1305.jpg,table_tennis_balls
/tmp/tmphm3ox1rk/test/billiard_ball/billiard_ball_35.jpg,Cool billiard_ball
/tmp/tmphm3ox1rk/test/billiard_ball/billiard_ball_718.jpg,Image of table_tennis_balls
/tmp/tmphm3ox1rk/test/billiard_ball/billiard_ball_1203.jpg,Image of bowling_balls
/tmp/tmphm3ox1rk/test/billiard_ball/billiard_ball_460.jpg,Picture of the billiard_balls
/tmp/tmphm3ox1rk/test/billiard_ball/billiard_ball_97.jpg,Image of billiard_ball
/tmp/tmphm3ox1rk/test/billiard_ball/billiard_ball_1161.jpg,Picture of the billiard_balls
/tmp/tmphm3ox1rk/test/billiard_ball/billiard_ball_1046.jpg,tennis_balls
/tmp/tmphm3ox1rk/test/billiard_ball/billiard_ball_211.jpg,Image of bowling_balls
/tmp/tmphm3ox1rk/test/billiard_ball/billiard_ball_1126.jpg,Picture of the billiard_balls
/tmp/tmphm3ox1rk/test/billiard_ball/billiard_ball_706.jpg,Picture of the billiard_balls
/tmp/tmphm3ox1rk/test/billiard_ball/billiard_ball_513.jpg,Image of billiard_balls
/tmp/tmphm3ox1rk/test/billiard_ball/billiard_ball_337.jpg,Picture of the billiard_balls
/tmp/tmphm3ox1rk/test/billiard_ball/billiard_ball_208.jpg,Image of billiard_balls
/tmp/tmphm3ox1rk/test/billiard_ball/billiard_ball_1315.jpg,Picture of billiard_ball
/tmp/tmphm3ox1rk/test/billiard_ball/billiard_ball_407.jpg,Cool bowling_ball
/tmp/tmphm3ox1rk/test/billiard_ball/billiard_ball_972.jpg,Image of bowling_balls
/tmp/tmphm3ox1rk/test/billiard_ball/billiard_ball_511.jpg,Image of billiard_balls
/tmp/tmphm3ox1rk/test/billiard_ball/billiard_ball_14.jpg,Image of billiard_ball
/tmp/tmphm3ox1rk/test/billiard_ball/billiard_ball_672.jpg,Picture of the billiard_balls
/tmp/tmphm3ox1rk/test/billiard_ball/billiard_ball_1373.jpg,Picture of the billiard_balls
/tmp/tmphm3ox1rk/test/billiard_ball/billiard_ball_162.jpg,Picture of the billiard_balls
/tmp/tmphm3ox1rk/test/billiard_ball/billiard_ball_249.jpg,Image of billiard_ball
/tmp/tmphm3ox1rk/test/billiard_ball/billiard_ball_973.jpg,Image of billiard_balls
/tmp/tmphm3ox1rk/test/billiard_ball/billiard_ball_1164.jpg,Picture of the billiard_balls
