category,fraction,average_dot_product,variance,second_best_category
Image of billiard_ball,0.01603228269167848,0.30981177,0.000720887,Picture of billiard_ball
Picture of the billiard_balls,0.03468208092485549,0.3143278,0.00050233444,Image of billiard_balls
Picture of billiard_ball,0.0037081470171229144,0.32831812,0.00060789724,Image of billiard_ball
Image of billiard_balls,0.02126731377467554,0.30160576,0.00064330467,Picture of the billiard_balls
Image of bowling_ball,0.0341367651870433,0.30035782,0.0006522462,Picture of bowling_ball
table_tennis_balls,0.009052241247682408,0.30896878,0.0014977226,Image of table_tennis_balls
Cool billiard_ball,0.002835641836623405,0.29513684,0.00078041735,Image of billiard_ball
Image of table_tennis_balls,0.022794197840549677,0.29817298,0.0005270488,Picture of the table_tennis_balls
Image of bowling_balls,0.012542261969680444,0.2991542,0.00068536843,Picture of the bowling_balls
tennis_balls,0.013632893445304831,0.28767812,0.0010817642,Image of tennis_balls
Cool bowling_ball,0.014723524920929218,0.29714966,0.00062863383,Image of bowling_ball
Cool table_tennis_ball,0.0058894099683716875,0.29292032,0.0012464876,table_tennis_ball
Image of cricket_balls,0.0010906314756243866,0.28501782,0.0005884707,Picture of the cricket_balls
bowling_ball,0.003162831279310721,0.29100496,0.0007949862,Image of bowling_ball
Picture of the bowling_balls,0.014832588068491658,0.31959668,0.00048042746,Image of bowling_balls
golf_balls,0.008725051804995092,0.29040864,0.00074684026,Image of golf_balls
billiard_balls,0.000654378885374632,0.31616384,0.0015968581,Image of billiard_balls
Picture of bowling_ball,0.024648271349111135,0.3167379,0.0007249444,Image of bowling_ball
Image of footballs,0.09215835969026066,0.29635862,0.0001742301,Picture of the footballs
cricket_balls,0.004471589050059985,0.29488802,0.0009907106,Image of cricket_balls
Picture of the hockey_pucks,0.00807067291962046,0.31094107,0.00087983545,Image of hockey_pucks
Image of golf_ball,0.05093248991165885,0.30146837,0.00055530394,Picture of golf_ball
Image of golf_balls,0.020940124331988223,0.2965128,0.00069801015,Picture of the golf_balls
Picture of golf_ball,0.012542261969680444,0.30568758,0.00036794413,Image of golf_ball
Cool golf_ball,0.007852546624495582,0.28876892,0.0007137325,Image of golf_ball
Picture of the golf_balls,0.020394808594176028,0.31153497,0.0005685225,Image of golf_balls
hockey_pucks,0.005125967935434616,0.28685102,0.0011654306,Image of hockey_pucks
golf_ball,0.0019631366561238955,0.2785617,0.0004775193,Image of golf_ball
Image of hockey_pucks,0.006652852001308758,0.2916146,0.0010262865,Picture of the hockey_pucks
Image of volleyballs,0.025520776529610645,0.31058818,0.00039780446,Picture of the volleyballs
Image of tennis_ball,0.032391754826044276,0.3143522,0.00068895746,Picture of tennis_ball
Image of tennis_balls,0.013851019740429708,0.3081177,0.0007351928,tennis_balls
Picture of tennis_ball,0.013305704002617515,0.30634138,0.0010321414,Image of tennis_ball
Cool tennis_ball,0.010470062165994111,0.294517,0.0011086365,Image of tennis_ball
