category,fraction,average_dot_product,variance,second_best_category
skateboards,0.008967391304347826,0.30451003,0.00029392677,image of skateboard
image of skateboard,0.02690217391304348,0.30063307,0.00031268958,picture of skateboard
picture of skateboard,0.004619565217391305,0.29770637,0.00045085655,image of skateboard
cool skateboard,0.007336956521739131,0.30637366,9.9614816e-05,image of skateboard
image of scooter,0.052445652173913046,0.30036518,0.00017768978,scooters
classic skateboard,0.0010869565217391304,0.30989552,0.00013753027,image of skateboard
image of kayak,0.042119565217391304,0.29624438,0.00023763718,kayak
image of segway,0.051358695652173915,0.3121671,0.00037293206,picture of segway
unicycles,0.003532608695652174,0.29087666,0.0011430612,image of unicycle
skateboard,0.0002717391304347826,0.27469078,0.0,image of skateboard
image of van,0.016304347826086956,0.26955134,0.0002508084,picture of van
image of unicycle,0.036141304347826086,0.31050193,0.00071406545,picture of unicycle
image of helicopter,0.0375,0.28881317,0.00015875913,picture of helicopter
picture of helicopter,0.005706521739130435,0.2876393,8.384955e-05,image of helicopter
image of hovercraft,0.029619565217391303,0.299411,0.00033726823,picture of hovercraft
cool helicopter,0.005163043478260869,0.28953603,5.2972842e-05,image of helicopter
helicopters,0.001358695652173913,0.2869851,4.8244e-05,image of helicopter
image of airplane,0.021739130434782608,0.27565378,0.00014650225,picture of airplane
classic helicopter,0.0005434782608695652,0.28949147,4.7564507e-05,image of helicopter
image of bicycle,0.019021739130434784,0.28685156,0.00036400385,picture of bicycle
cool bicycle,0.008695652173913044,0.30092663,0.00019432604,image of bicycle
picture of unicycle,0.004891304347826087,0.31538257,0.0004984803,image of unicycle
classic bicycle,0.004076086956521739,0.2992459,2.5399526e-05,cool bicycle
picture of bicycle,0.0024456521739130437,0.29658613,0.00012905068,image of bicycle
cool unicycle,0.004347826086956522,0.31266674,0.00016444176,image of unicycle
bicycles,0.0010869565217391304,0.26325458,5.00679e-05,image of bicycle
rickshaw,0.0008152173913043478,0.2768348,0.0002386719,rickshaws
image of motorcycle,0.019293478260869565,0.27774614,0.0001773767,picture of motorcycle
image of rickshaw,0.035869565217391305,0.3140944,0.00030659186,picture of rickshaw
