category,fraction,average_dot_product,variance,second_best_category
Image of dew,0.10667443893908482,0.28835338,0.00033940905,dew
Image of rain,0.08160886039055669,0.26665857,0.00028215817,rain
Image of frost,0.1732730982220927,0.2896688,0.00024195896,Image of rime
Image of glaze,0.0002914602156805596,0.26602477,3.2633543e-06,Image of hail
Image of rime,0.12605654328184202,0.2886593,0.0002734322,Image of frost
Image of hail,0.09516176041970272,0.30521935,0.00057244994,Image of snow
Image of rainbow,0.034100845234625476,0.30530196,0.0001342317,rainbow
frost,0.0001457301078402798,0.22119488,0.0,Image of frost
Image of fogsmog,0.13436315942873797,0.29717064,0.00032060005,fogsmog
Image of snow,0.09195569804721655,0.26906124,0.00021175499,snow
Image of sandstorm,0.09661906149810551,0.30834776,0.0004593229,sandstorm
Image of lightning,0.0547945205479452,0.30534634,8.459294e-05,lightning
sandstorm,0.0002914602156805596,0.30396146,5.814433e-05,Image of sandstorm
fogsmog,0.0004371903235208394,0.29154852,0.00012379885,Image of fogsmog
rain,0.0008743806470416788,0.2608629,0.00036560497,Image of rain
snow,0.0030603322646458758,0.26189387,0.00012043544,Image of snow
lightning,0.0002914602156805596,0.2899115,3.5606325e-05,Image of lightning
