category,fraction,average_dot_product,variance,second_best_category
Image of dew,0.09457883998834159,0.29024586,0.00031008376,Picture of dew
Weather dew,0.010201107548819586,0.27807322,0.00020459038,Image of dew
Picture of dew,0.002914602156805596,0.2712264,0.00056110026,Image of dew
Image of frost,0.11366948411541825,0.29122832,0.0002424778,Weather frost
Image of rain,0.06965899154765375,0.2658869,0.00028919874,Picture of rain
Image of glaze,0.0002914602156805596,0.26602477,3.2633543e-06,Image of hail
Weather rime,0.008452346254736228,0.27400854,0.00023540136,Image of rime
Image of rime,0.1068201690469251,0.29048204,0.00025289934,Picture of rime
Weather frost,0.06659865928300787,0.28898424,0.00023535096,Image of frost
Picture of hail,0.00757796560769455,0.3027723,0.0004409735,Image of hail
Picture of rainbow,0.010201107548819586,0.31036624,0.00013420923,Image of rainbow
Picture of rime,0.003934712911687554,0.28077987,0.00044548954,Image of rime
Image of hail,0.0851063829787234,0.306795,0.0005476899,Picture of hail
Image of fogsmog,0.12926260565432818,0.29777595,0.0003021567,Picture of fogsmog
Picture of frost,0.005392013990090353,0.2965779,0.00014403704,Image of frost
Weather snow,0.03337219469542407,0.27049977,0.0001091853,Image of snow
Image of snow,0.0577091227047508,0.27121627,0.0002405812,Picture of snow
Picture of sandstorm,0.042261731273681144,0.31992164,0.00031473226,Image of sandstorm
Image of sandstorm,0.04998542698921597,0.30160815,0.00049515994,Picture of sandstorm
Weather sandstorm,0.006703584960652871,0.29899934,0.00031983334,Image of sandstorm
Picture of lightning,0.011949868842902944,0.3088958,8.825558e-05,Image of lightning
Picture of snow,0.0020402215097639173,0.28413245,0.00012780938,Image of snow
Weather fogsmog,0.0010201107548819587,0.29669613,0.00015383108,Image of fogsmog
Picture of fogsmog,0.0008743806470416788,0.30675364,0.00023237865,Image of fogsmog
fogsmog,0.0002914602156805596,0.28390446,1.04010105e-05,Image of fogsmog
Image of rainbow,0.02229670649956281,0.3053563,9.195789e-05,Picture of rainbow
Weather rainbow,0.001457301078402798,0.2936979,7.3236224e-05,Image of rainbow
Picture of rain,0.0030603322646458758,0.2856724,0.00022092319,Image of rain
Weather rain,0.00728650539201399,0.26766,0.00018511772,Image of rain
Weather hail,0.0010201107548819587,0.28209114,0.00052309886,Image of hail
snow,0.0008743806470416788,0.25244698,0.00022288163,Image of snow
Image of lightning,0.04095016030311863,0.30555046,7.3857154e-05,Picture of lightning
Weather lightning,0.0020402215097639173,0.29295915,4.2123454e-05,Image of lightning
lightning,0.0001457301078402798,0.28394556,0.0,Picture of lightning
